speed_data,Timestamp,Action,Bump,Traffic congestion
0,1577009208847,0,0,0
0,1577009209287,0,0,0
0,1577009209777,0,0,0
0,1577009210217,0,0,0
0,1577009210707,0,0,0
0,1577009211157,0,0,0
0,1577009211647,0,0,0
0,1577009212087,0,0,0
0,1577009212577,0,0,0
0,1577009213027,0,0,0
0,1577009213517,0,0,0
0,1577009213967,0,0,0
0,1577009214457,0,0,0
0,1577009214907,0,0,0
0,1577009215397,0,0,0
0,1577009215847,0,0,0
0,1577009216337,0,0,0
0,1577009216787,0,0,0
0,1577009217287,0,0,0
0,1577009217737,0,0,0
0,1577009218227,0,0,0
0,1577009218677,0,0,0
0,1577009219167,0,0,0
0,1577009219607,0,0,0
0,1577009220097,0,0,0
0,1577009220547,0,0,0
0,1577009221037,0,0,0
0,1577009221487,0,0,0
0,1577009221977,0,0,0
0,1577009222427,0,0,0
0,1577009222927,0,0,0
0,1577009223377,0,0,0
0,1577009223877,0,0,0
0,1577009224327,0,0,0
0,1577009224817,0,0,0
0,1577009225267,0,0,0
0,1577009225767,0,0,0
0,1577009226217,0,0,0
0,1577009226707,0,0,0
1,1577009227157,1,0,0
0,1577009227647,1,0,0
0,1577009228097,0,0,0
0,1577009228587,0,0,0
0,1577009229037,0,0,0
0,1577009229527,0,0,0
0,1577009229977,0,0,0
0,1577009230477,0,0,0
0,1577009230927,0,0,0
0,1577009231427,0,0,0
0,1577009231877,0,0,0
0,1577009232387,0,0,0
0,1577009232837,0,0,0
0,1577009233327,0,0,0
0,1577009233777,0,0,0
0,1577009234267,0,0,0
0,1577009234717,0,0,0
0,1577009235217,0,0,0
0,1577009235667,0,0,0
0,1577009236167,0,0,0
0,1577009236607,0,0,0
0,1577009237097,0,0,0
0,1577009237547,0,0,0
0,1577009238037,0,0,0
0,1577009238487,0,0,0
0,1577009238977,0,0,0
0,1577009239427,0,0,0
0,1577009239927,0,0,0
0,1577009240377,4,0,0
1,1577009240867,4,0,0
2,1577009241317,4,0,0
5,1577009241807,4,0,0
8,1577009242257,4,0,0
9,1577009242747,4,0,0
11,1577009243197,4,0,0
13,1577009243687,4,0,0
14,1577009244136,4,0,0
16,1577009244627,4,0,0
18,1577009245076,4,0,0
20,1577009245566,4,0,0
22,1577009246016,4,0,0
24,1577009246506,4,0,0
25,1577009246946,4,0,0
27,1577009247446,4,0,0
29,1577009247886,4,0,0
30,1577009248376,4,0,0
32,1577009248826,4,0,0
33,1577009249326,4,0,0
34,1577009249776,1,0,0
35,1577009250276,1,0,0
35,1577009250736,1,0,0
36,1577009251226,1,0,0
36,1577009251666,1,0,0
36,1577009252156,1,0,0
36,1577009252596,1,0,0
36,1577009253087,1,0,0
35,1577009253526,1,0,0
35,1577009254016,1,0,0
36,1577009254466,1,0,0
36,1577009254966,1,0,0
36,1577009255416,1,0,0
37,1577009255906,1,0,0
37,1577009256356,1,0,0
37,1577009256846,1,0,0
37,1577009257296,1,0,0
37,1577009257786,1,0,0
37,1577009258236,1,0,0
37,1577009258726,1,0,0
37,1577009259176,1,0,0
37,1577009259666,1,0,0
37,1577009260116,1,0,0
37,1577009260607,1,0,0
37,1577009261056,1,0,0
37,1577009261546,1,0,0
37,1577009261996,1,0,0
36,1577009262486,4,0,0
36,1577009262936,4,0,0
36,1577009263426,4,0,0
37,1577009263876,4,0,0
37,1577009264366,4,0,0
37,1577009264816,4,0,0
37,1577009265316,4,0,0
37,1577009265766,4,0,0
39,1577009266266,4,0,0
39,1577009266716,4,0,0
40,1577009267206,4,0,0
41,1577009267646,4,0,0
42,1577009268136,4,0,0
42,1577009268577,4,0,0
