DT_engineRPM,Timestamp,Action,Bump,Traffic congestion
1722.5,1569306195858.0,2,0,0
1709.5,1569306196327.0,2,0,0
1688.5,1569306196788.0,2,0,0
1687.5,1569306197248.0,2,0,0
1686.5,1569306197708.0,2,0,0
1695.0,1569306198167.0,2,0,0
1694.5,1569306198627.0,2,0,0
1694.5,1569306199088.0,2,0,0
1701.5,1569306199547.0,2,0,0
1710.0,1569306200033.0,2,0,0
1701.5,1569306200478.0,2,0,0
1706.0,1569306200938.0,1,0,0
1707.5,1569306201397.0,1,0,0
1709.5,1569306201857.0,1,0,0
1721.5,1569306202318.0,1,0,0
1737.5,1569306202778.0,1,0,0
1737.0,1569306203237.0,1,0,0
1742.5,1569306203698.0,1,0,0
1739.5,1569306204158.0,1,0,0
1598.0,1569306204628.0,1,0,0
1468.0,1569306205088.0,2,0,0
1310.5,1569306205558.0,2,0,0
1171.5,1569306206018.0,2,0,0
1165.5,1569306206488.0,2,0,0
1139.0,1569306206948.0,2,0,0
1101.0,1569306207417.0,2,0,0
1088.0,1569306207878.0,2,0,0
1064.5,1569306208338.0,2,0,0
1046.0,1569306208798.0,2,0,0
1036.0,1569306209268.0,2,0,0
1055.5,1569306209728.0,2,0,0
1287.5,1569306210188.0,2,0,0
1459.5,1569306210647.0,2,0,0
1492.0,1569306211107.0,2,0,0
1516.0,1569306211628.0,1,0,0
1432.5,1569306212028.0,1,0,0
1379.5,1569306212488.0,1,0,0
1585.5,1569306212948.0,1,0,0
1750.5,1569306213409.0,1,0,0
1842.5,1569306213868.0,1,0,0
1923.5,1569306214328.0,1,0,0
2011.0,1569306214843.0,2,0,0
1614.5,1569306215248.0,2,0,0
1309.5,1569306215707.0,2,0,0
1216.0,1569306216168.0,2,0,0
1203.5,1569306216628.0,2,0,0
1171.5,1569306217098.0,2,0,0
1139.5,1569306217558.0,2,0,0
1108.5,1569306218018.0,2,0,0
1091.0,1569306218477.0,2,0,0
1070.0,1569306218937.0,2,0,0
1047.0,1569306219409.0,2,0,0
1036.5,1569306219868.0,2,0,0
1027.0,1569306220318.0,2,0,0
1022.0,1569306220778.0,3,0,0
1008.0,1569306221248.0,3,0,0
1007.5,1569306221707.0,3,0,0
1014.5,1569306222168.0,3,0,0
1008.0,1569306222628.0,3,0,0
1001.0,1569306223088.0,3,0,0
1000.5,1569306223568.0,3,0,0
993.5,1569306224028.0,3,0,0
991.0,1569306224487.0,3,0,0
997.0,1569306224948.0,3,0,0
1000.0,1569306225420.0,3,0,0
997.5,1569306225878.0,3,0,0
