DT_acceleration,Timestamp,Action,Bump,Traffic congestion
0.056,1569306195847.0,2,0,0
0.053,1569306196308.0,2,0,0
-0.001,1569306196767.0,2,0,0
-0.015,1569306197230.0,2,0,0
-0.014,1569306197698.0,2,0,0
-0.007,1569306198157.0,2,0,0
-0.006,1569306198618.0,2,0,0
-0.004,1569306199078.0,2,0,0
0.01,1569306199537.0,2,0,0
0.01,1569306200031.0,2,0,0
-0.016,1569306200467.0,2,0,0
-0.011,1569306200928.0,1,0,0
0.005,1569306201387.0,1,0,0
0.011,1569306201847.0,1,0,0
0.034,1569306202298.0,1,0,0
0.054,1569306202757.0,1,0,0
0.031,1569306203227.0,1,0,0
0.018000000000000002,1569306203688.0,1,0,0
0.008,1569306204148.0,1,0,0
-0.017,1569306204607.0,1,0,0
-0.11800000000000001,1569306205078.0,2,0,0
-0.083,1569306205548.0,2,0,0
-0.11,1569306206008.0,2,0,0
-0.08700000000000001,1569306206478.0,2,0,0
-0.026000000000000002,1569306206938.0,2,0,0
0.004,1569306207410.0,2,0,0
-0.012,1569306207868.0,2,0,0
-0.05,1569306208328.0,2,0,0
-0.11900000000000001,1569306208788.0,2,0,0
-0.188,1569306209248.0,2,0,0
-0.2,1569306209718.0,2,0,0
-0.171,1569306210178.0,2,0,0
-0.114,1569306210637.0,2,0,0
-0.016,1569306211088.0,2,0,0
0.082,1569306211548.0,1,0,0
0.073,1569306212018.0,1,0,0
0.027,1569306212477.0,1,0,0
0.033,1569306212938.0,1,0,0
0.278,1569306213398.0,1,0,0
0.442,1569306213858.0,1,0,0
0.463,1569306214318.0,1,0,0
0.43,1569306214778.0,2,0,0
0.308,1569306215240.0,2,0,0
0.145,1569306215698.0,2,0,0
-0.178,1569306216158.0,2,0,0
-0.29,1569306216618.0,2,0,0
-0.262,1569306217088.0,2,0,0
-0.215,1569306217549.0,2,0,0
-0.176,1569306218007.0,2,0,0
-0.192,1569306218467.0,2,0,0
-0.233,1569306218927.0,2,0,0
-0.231,1569306219398.0,2,0,0
-0.245,1569306219848.0,2,0,0
-0.20600000000000002,1569306220308.0,2,0,0
-0.158,1569306220768.0,3,0,0
-0.17400000000000002,1569306221238.0,3,0,0
-0.159,1569306221697.0,3,0,0
-0.17500000000000002,1569306222158.0,3,0,0
-0.146,1569306222618.0,3,0,0
-0.114,1569306223078.0,3,0,0
-0.07,1569306223558.0,3,0,0
-0.052000000000000005,1569306224018.0,3,0,0
-0.042,1569306224477.0,3,0,0
-0.061,1569306224938.0,3,0,0
-0.148,1569306225416.0,3,0,0
-0.19,1569306225868.0,3,0,0
-0.278,1569306226328.0,3,0,0
-0.252,1569306226788.0,3,0,0
-0.168,1569306227259.0,2,0,0
-0.057,1569306227718.0,2,0,0
-0.006,1569306228188.0,2,0,0
0.018000000000000002,1569306228647.0,2,0,0
0.055,1569306229108.0,2,0,0
0.037,1569306229568.0,2,0,0
0.014,1569306230028.0,2,0,0
-0.017,1569306230488.0,2,0,0
-0.023,1569306230958.0,2,0,0
-0.03,1569306231429.0,2,0,0
-0.02,1569306231877.0,2,0,0
-0.04,1569306232337.0,2,0,0
-0.038,1569306232798.0,2,0,0
0.006,1569306233257.0,2,0,0
0.046,1569306233717.0,2,0,0
0.028,1569306234177.0,3,0,0
0.013000000000000001,1569306234638.0,3,0,0
0.029,1569306235098.0,3,0,0
0.079,1569306235557.0,3,0,0
0.082,1569306236018.0,3,0,0
0.091,1569306236478.0,3,0,0
0.081,1569306236938.0,3,0,0
0.046,1569306237426.0,3,0,0
0.06,1569306237867.0,3,0,0
0.096,1569306238337.0,3,0,0
0.136,1569306238798.0,3,0,0
0.14300000000000002,1569306239257.0,3,0,0
0.182,1569306239718.0,3,0,0
0.169,1569306240223.0,3,0,0
0.145,1569306240637.0,1,0,0
0.12,1569306241098.0,1,0,0
0.116,1569306241558.0,1,0,0
0.146,1569306242018.0,1,0,0
0.2,1569306242478.0,1,0,0
0.214,1569306242937.0,1,0,0
0.279,1569306243426.0,1,0,0
0.275,1569306243868.0,1,0,0
0.248,1569306244318.0,1,0,0
0.08700000000000001,1569306244788.0,1,0,0
-0.658,1569306245248.0,1,0,0
-0.997,1569306245708.0,1,0,0
-0.653,1569306246168.0,1,0,0
-0.335,1569306246638.0,1,0,0
-0.242,1569306247098.0,1,0,0
-0.058,1569306247572.0,1,0,0
-0.032,1569306248018.0,1,0,0
-0.23700000000000002,1569306248488.0,1,0,0
-0.076,1569306248948.0,6,0,0
0.015,1569306249429.0,6,0,0
0.05,1569306249878.0,6,0,0
0.088,1569306250348.0,6,0,0
0.153,1569306250798.0,6,0,0
0.251,1569306251258.0,6,0,0
0.32,1569306251718.0,6,0,0
0.33,1569306252191.0,6,0,0
0.244,1569306252648.0,6,0,0
0.057,1569306253108.0,6,0,0
-0.165,1569306253568.0,6,0,0
-0.232,1569306254028.0,6,0,0
-0.26,1569306254497.0,6,0,0
-0.219,1569306254948.0,6,0,0
-0.14100000000000001,1569306255430.0,6,0,0
-0.067,1569306255878.0,6,0,0
-0.022,1569306256340.0,6,0,0
0.088,1569306256798.0,6,0,0
0.364,1569306257258.0,6,0,0
0.508,1569306257718.0,6,0,0
0.522,1569306258212.0,6,0,0
0.518,1569306258638.0,6,0,0
0.442,1569306259097.0,6,0,0
0.394,1569306259558.0,6,0,0
0.328,1569306260008.0,6,0,0
0.429,1569306260478.0,6,0,0
0.432,1569306260938.0,1,0,0
0.385,1569306261397.0,1,0,0
0.312,1569306261858.0,1,0,0
0.278,1569306262320.0,1,0,0
0.261,1569306262778.0,1,0,0
0.049,1569306263248.0,6,0,0
-0.666,1569306263708.0,6,0,0
-0.902,1569306264178.0,6,0,0
-0.763,1569306264638.0,6,0,0
-0.632,1569306265098.0,6,0,0
-0.652,1569306265558.0,6,0,0
-0.558,1569306266018.0,6,0,0
-0.47900000000000004,1569306266477.0,6,0,0
-0.352,1569306266938.0,6,0,0
-0.23600000000000002,1569306267409.0,6,0,0
-0.133,1569306267858.0,6,0,0
-0.024,1569306268318.0,6,0,0
0.007,1569306268785.0,6,0,0
0.10400000000000001,1569306269238.0,6,0,0
0.139,1569306269698.0,6,0,0
0.163,1569306270158.0,6,0,0
0.189,1569306270618.0,6,0,0
0.192,1569306271078.0,6,0,0
0.232,1569306271548.0,6,0,0
0.28300000000000003,1569306272008.0,6,0,0
0.263,1569306272468.0,6,0,0
0.191,1569306272928.0,6,0,0
0.147,1569306273388.0,6,0,0
0.025,1569306273848.0,6,0,0
-0.079,1569306274308.0,6,0,0
-0.146,1569306274758.0,6,0,0
-0.158,1569306275228.0,6,0,0
-0.229,1569306275689.0,6,0,0
-0.246,1569306276148.0,6,0,0
-0.178,1569306276608.0,6,0,0
-0.123,1569306277069.0,6,0,0
-0.075,1569306277528.0,6,0,0
-0.23800000000000002,1569306277988.0,6,0,0
-0.523,1569306278459.0,6,0,0
-0.486,1569306278918.0,6,0,0
-0.067,1569306279378.0,6,0,0
0.209,1569306279828.0,6,0,0
0.109,1569306280298.0,6,0,0
0.064,1569306280758.0,6,0,0
0.057,1569306281218.0,6,0,0
0.107,1569306281688.0,6,0,0
0.177,1569306282148.0,6,0,0
0.06,1569306282608.0,6,0,0
-0.393,1569306283058.0,6,0,0
-0.485,1569306283538.0,6,0,0
-0.202,1569306283998.0,6,0,0
0.091,1569306284459.0,6,0,0
0.107,1569306284908.0,6,0,0
0.165,1569306285368.0,6,0,0
0.439,1569306285829.0,6,0,0
0.437,1569306286288.0,6,0,0
0.453,1569306286779.0,6,0,0
0.718,1569306287198.0,6,0,0
0.865,1569306287658.0,6,0,0
0.595,1569306288108.0,6,0,0
0.092,1569306288558.0,6,0,0
-0.311,1569306289019.0,6,0,0
-0.008,1569306289478.0,6,0,0
0.17300000000000001,1569306289970.0,6,0,0
-0.14300000000000002,1569306290408.0,6,0,0
-0.311,1569306290868.0,6,0,0
0.109,1569306291329.0,6,0,0
0.488,1569306291788.0,6,0,0
0.217,1569306292248.0,6,0,0
-0.135,1569306292708.0,6,0,0
-0.269,1569306293168.0,6,0,0
-0.34800000000000003,1569306293628.0,6,0,0
-0.336,1569306294088.0,6,0,0
-0.273,1569306294548.0,6,0,0
0.04,1569306295008.0,6,0,0
0.21,1569306295468.0,6,0,0
0.292,1569306295928.0,6,0,0
0.218,1569306296399.0,6,0,0
0.116,1569306296858.0,6,0,0
0.082,1569306297318.0,6,0,0
0.031,1569306297768.0,6,0,0
0.041,1569306298238.0,1,0,0
0.08600000000000001,1569306298688.0,1,0,0
0.167,1569306299148.0,1,0,0
0.227,1569306299618.0,1,0,0
0.23700000000000002,1569306300068.0,1,0,0
0.216,1569306300528.0,1,0,0
0.183,1569306300998.0,1,0,0
0.153,1569306301468.0,1,0,0
0.151,1569306301928.0,1,0,0
0.132,1569306302388.0,1,0,0
0.096,1569306302848.0,1,0,0
0.122,1569306303318.0,1,0,0
-0.462,1569306303778.0,8,0,0
-1.065,1569306304248.0,8,0,0
-0.652,1569306304708.0,8,0,0
-0.269,1569306305168.0,8,0,0
-0.061,1569306305628.0,8,0,0
0.122,1569306306088.0,8,0,0
0.185,1569306306549.0,8,0,0
0.12,1569306307008.0,8,0,0
0.076,1569306307468.0,8,0,0
0.007,1569306307964.0,8,0,0
-0.019,1569306308388.0,8,0,0
0.001,1569306308848.0,8,0,0
-0.033,1569306309308.0,8,0,0
-0.138,1569306309758.0,8,0,0
-0.256,1569306310218.0,8,0,0
-0.182,1569306310691.0,8,0,0
-0.162,1569306311148.0,8,0,0
-0.23600000000000002,1569306311598.0,8,0,0
-0.165,1569306312058.0,8,0,0
-0.082,1569306312518.0,8,0,0
-0.20800000000000002,1569306312978.0,8,0,0
-0.194,1569306313446.0,8,0,0
-0.165,1569306313898.0,8,0,0
-0.135,1569306314358.0,8,0,0
-0.148,1569306314808.0,8,0,0
-0.14400000000000002,1569306315278.0,8,0,0
-0.09,1569306315728.0,8,0,0
0.40700000000000003,1569306316188.0,8,0,0
0.965,1569306316648.0,8,0,0
1.19,1569306317108.0,1,0,0
0.778,1569306317568.0,1,0,0
0.338,1569306318028.0,1,0,0
0.1,1569306318504.0,1,0,0
0.007,1569306318948.0,1,0,0
-0.036000000000000004,1569306319408.0,8,0,0
-0.029,1569306319858.0,8,0,0
-0.055,1569306320329.0,8,0,0
-0.156,1569306320788.0,8,0,0
-0.503,1569306321248.0,8,0,0
-0.746,1569306321709.0,8,0,0
-0.529,1569306322158.0,8,0,0
-0.308,1569306322618.0,8,0,0
-0.188,1569306323079.0,8,0,0
-0.147,1569306323539.0,8,0,0
-0.168,1569306323998.0,8,0,0
-0.182,1569306324468.0,8,0,0
-0.148,1569306324929.0,8,0,0
-0.113,1569306325398.0,8,0,0
-0.133,1569306325848.0,8,0,0
-0.243,1569306326308.0,8,0,0
-0.998,1569306326768.0,8,0,0
-0.934,1569306327228.0,8,0,0
-0.65,1569306327689.0,8,0,0
-0.516,1569306328149.0,8,0,0
-0.362,1569306328619.0,8,0,0
-0.243,1569306329078.0,8,0,0
-0.094,1569306329538.0,8,0,0
0.051000000000000004,1569306329998.0,8,0,0
0.054,1569306330459.0,8,0,0
0.044,1569306330918.0,8,0,0
0.077,1569306331368.0,8,0,0
0.107,1569306331828.0,8,0,0
0.10200000000000001,1569306332288.0,8,0,0
0.097,1569306332748.0,8,0,0
0.11800000000000001,1569306333209.0,8,0,0
0.159,1569306333668.0,8,0,0
0.28400000000000003,1569306334138.0,8,0,0
0.426,1569306334589.0,8,0,0
0.482,1569306335049.0,8,0,0
0.355,1569306335509.0,8,0,0
0.129,1569306335968.0,8,0,0
-0.059000000000000004,1569306336442.0,8,0,0
-0.11,1569306336888.0,8,0,0
-0.109,1569306337369.0,8,0,0
-0.154,1569306337820.0,8,0,0
-0.58,1569306338279.0,8,0,0
-0.522,1569306338748.0,8,0,0
-0.312,1569306339198.0,8,0,0
-0.13,1569306339658.0,8,0,0
0.033,1569306340118.0,8,0,0
0.042,1569306340578.0,1,1,0
0.03,1569306341039.0,1,1,0
0.242,1569306341499.0,1,1,0
0.377,1569306341969.0,1,1,0
0.393,1569306342428.0,1,1,0
0.328,1569306342888.0,1,1,0
0.221,1569306343359.0,1,1,0
0.14200000000000002,1569306343818.0,1,1,0
0.031,1569306344289.0,1,1,0
-0.08600000000000001,1569306344738.0,1,1,0
-0.17200000000000001,1569306345199.0,1,1,0
-0.269,1569306345668.0,1,1,0
-0.577,1569306346129.0,1,1,0
-0.538,1569306346588.0,1,1,0
-0.303,1569306347049.0,1,1,0
-0.035,1569306347508.0,1,1,0
0.164,1569306348004.0,1,1,0
0.203,1569306348449.0,1,1,0
0.139,1569306348908.0,1,1,0
0.10200000000000001,1569306349369.0,1,1,0
0.091,1569306349829.0,1,1,0
0.077,1569306350289.0,1,1,0
0.043000000000000003,1569306350748.0,1,1,0
0.035,1569306351208.0,1,1,0
0.0,1569306351669.0,1,1,0
-0.019,1569306352119.0,1,1,0
-0.035,1569306352578.0,1,1,0
-0.043000000000000003,1569306353039.0,1,1,0
0.044,1569306353499.0,1,1,0
0.001,1569306353959.0,1,1,0
-0.028,1569306354419.0,1,1,0
-0.085,1569306354879.0,1,1,0
-0.017,1569306355349.0,1,1,0
-0.372,1569306355809.0,1,1,0
-0.47800000000000004,1569306356259.0,1,1,0
-0.547,1569306356729.0,1,1,0
-0.077,1569306357189.0,1,1,0
0.049,1569306357649.0,1,1,0
0.133,1569306358109.0,1,1,0
0.622,1569306358568.0,1,1,0
0.557,1569306359028.0,1,1,0
0.262,1569306359488.0,1,0,0
0.216,1569306359939.0,1,0,0
0.522,1569306360409.0,1,0,0
0.354,1569306360859.0,1,0,0
0.117,1569306361318.0,1,0,0
0.162,1569306361778.0,1,0,0
0.271,1569306362248.0,1,0,0
0.512,1569306362727.0,3,0,0
0.511,1569306363158.0,3,0,0
0.396,1569306363619.0,3,0,0
0.34500000000000003,1569306364079.0,3,0,0
0.28800000000000003,1569306364548.0,3,0,0
0.249,1569306365019.0,3,0,0
0.122,1569306365478.0,3,0,0
0.098,1569306365949.0,3,0,0
0.074,1569306366408.0,3,0,0
0.038,1569306366868.0,3,0,0
0.013000000000000001,1569306367339.0,3,0,0
-0.067,1569306367798.0,3,0,0
-0.108,1569306368258.0,3,0,0
-0.07100000000000001,1569306368718.0,3,0,0
