DT_vehicleSpeed,Timestamp,Action,Bump,Traffic congestion
0.0,1569294764373.0,0,0,0
0.0,1569294764832.0,0,0,0
0.0,1569294765293.0,0,0,0
0.0,1569294765753.0,0,0,0
0.0,1569294766202.0,0,0,0
0.0,1569294766662.0,0,0,0
0.0,1569294767125.0,0,0,0
0.0,1569294767586.0,0,0,0
0.0,1569294768053.0,0,0,0
0.0,1569294768526.0,0,0,0
0.0,1569294768988.0,0,0,0
0.0,1569294769433.0,0,0,0
1.0,1569294769893.0,3,0,0
2.0,1569294770363.0,3,0,0
2.0,1569294770823.0,3,0,0
2.0,1569294771283.0,3,0,0
2.0,1569294771753.0,3,0,0
2.0,1569294772213.0,3,0,0
2.0,1569294772673.0,3,0,0
2.0,1569294773133.0,3,0,0
2.0,1569294773593.0,3,0,0
2.0,1569294774063.0,3,0,0
2.0,1569294774513.0,3,0,0
2.0,1569294774993.0,3,0,0
2.0,1569294775443.0,3,0,0
3.0,1569294775913.0,2,0,0
3.0,1569294776391.0,2,0,0
3.0,1569294776834.0,2,0,0
3.0,1569294777293.0,2,0,0
4.0,1569294777753.0,2,0,0
4.0,1569294778224.0,2,0,0
4.0,1569294778683.0,2,0,0
4.0,1569294779153.0,2,0,0
4.0,1569294779613.0,2,0,0
4.0,1569294780073.0,2,0,0
4.0,1569294780532.0,2,0,0
4.0,1569294780993.0,2,0,0
4.0,1569294781463.0,2,0,0
5.0,1569294781912.0,2,0,0
5.0,1569294782373.0,2,0,0
6.0,1569294782833.0,2,0,0
6.0,1569294783292.0,2,0,0
6.0,1569294783768.0,2,0,0
7.0,1569294784213.0,2,0,0
7.0,1569294784673.0,2,0,0
7.0,1569294785133.0,2,0,0
7.0,1569294785603.0,-1,0,0
7.0,1569294786053.0,-1,0,0
7.0,1569294786516.0,-1,0,0
7.0,1569294786983.0,-1,0,0
7.0,1569294787443.0,-1,0,0
7.0,1569294787904.0,-1,0,0
7.0,1569294788373.0,-1,0,0
7.0,1569294788833.0,-1,0,0
7.0,1569294789292.0,-1,0,0
7.0,1569294789753.0,-1,0,0
6.0,1569294790213.0,-1,0,0
4.0,1569294790672.0,2,0,0
4.0,1569294791132.0,2,0,0
4.0,1569294791593.0,2,0,0
5.0,1569294792053.0,2,0,0
5.0,1569294792513.0,2,0,0
5.0,1569294792972.0,2,0,0
5.0,1569294793443.0,2,0,0
4.0,1569294793902.0,2,0,0
4.0,1569294794395.0,2,0,0
4.0,1569294794833.0,2,0,0
4.0,1569294795293.0,2,0,0
4.0,1569294795753.0,2,0,0
3.0,1569294796212.0,2,0,0
2.0,1569294796682.0,2,0,0
1.0,1569294797143.0,2,0,0
0.0,1569294797613.0,2,0,0
0.0,1569294798073.0,2,0,0
0.0,1569294798533.0,2,0,0
1.0,1569294798993.0,2,0,0
2.0,1569294799443.0,2,0,0
0.0,1569294799902.0,2,0,0
0.0,1569294800362.0,2,0,0
0.0,1569294800833.0,0,0,0
0.0,1569294801293.0,0,0,0
0.0,1569294801770.0,0,0,0
0.0,1569294802202.0,0,0,0
0.0,1569294802673.0,0,0,0
0.0,1569294803123.0,0,0,0
0.0,1569294803583.0,0,0,0
0.0,1569294804043.0,0,0,0
0.0,1569294804503.0,0,0,0
0.0,1569294804975.0,0,0,0
0.0,1569294805423.0,0,0,0
0.0,1569294805883.0,0,0,0
0.0,1569294806343.0,0,0,0
0.0,1569294806805.0,0,0,0
0.0,1569294807273.0,0,0,0
0.0,1569294807733.0,0,0,0
0.0,1569294808193.0,0,0,0
0.0,1569294808652.0,0,0,0
0.0,1569294809113.0,0,0,0
0.0,1569294809573.0,0,0,0
0.0,1569294810042.0,0,0,0
0.0,1569294810493.0,0,0,0
0.0,1569294810953.0,0,0,0
0.0,1569294811413.0,-1,0,0
1.0,1569294811873.0,-1,0,0
2.0,1569294812334.0,-1,0,0
3.0,1569294812803.0,-1,0,0
3.0,1569294813264.0,-1,0,0
3.0,1569294813724.0,-1,0,0
4.0,1569294814184.0,-1,0,0
4.0,1569294814654.0,-1,0,0
4.0,1569294815113.0,-1,0,0
4.0,1569294815576.0,-1,0,0
4.0,1569294816033.0,-1,0,0
4.0,1569294816493.0,-1,0,0
4.0,1569294816954.0,-1,0,0
4.0,1569294817424.0,3,0,0
5.0,1569294817883.0,3,0,0
5.0,1569294818344.0,3,0,0
6.0,1569294818804.0,3,0,0
6.0,1569294819264.0,3,0,0
7.0,1569294819773.0,3,0,0
7.0,1569294820183.0,3,0,0
8.0,1569294820644.0,3,0,0
8.0,1569294821093.0,3,0,0
8.0,1569294821564.0,3,0,0
8.0,1569294822025.0,3,0,0
9.0,1569294822483.0,3,0,0
9.0,1569294822953.0,3,0,0
9.0,1569294823414.0,3,0,0
10.0,1569294823874.0,3,0,0
10.0,1569294824324.0,3,0,0
11.0,1569294824793.0,3,0,0
11.0,1569294825253.0,3,0,0
11.0,1569294825713.0,3,0,0
12.0,1569294826173.0,3,0,0
12.0,1569294826634.0,3,0,0
13.0,1569294827093.0,1,0,0
14.0,1569294827564.0,1,0,0
14.0,1569294828024.0,1,0,0
14.0,1569294828474.0,1,0,0
15.0,1569294828944.0,1,0,0
15.0,1569294829404.0,1,0,0
15.0,1569294829864.0,1,0,0
16.0,1569294830329.0,1,0,0
16.0,1569294830784.0,1,0,0
16.0,1569294831244.0,1,0,0
16.0,1569294831694.0,1,0,0
17.0,1569294832164.0,1,0,0
17.0,1569294832624.0,1,0,0
17.0,1569294833083.0,1,0,0
17.0,1569294833544.0,1,0,0
17.0,1569294834004.0,1,0,0
18.0,1569294834473.0,1,0,0
18.0,1569294834934.0,1,0,0
18.0,1569294835394.0,1,0,0
18.0,1569294835854.0,1,0,0
19.0,1569294836314.0,1,0,0
19.0,1569294836774.0,1,0,0
19.0,1569294837243.0,1,0,0
19.0,1569294837703.0,1,0,0
18.0,1569294838164.0,1,0,0
18.0,1569294838633.0,1,0,0
18.0,1569294839093.0,1,0,0
17.0,1569294839553.0,1,0,0
17.0,1569294840014.0,1,0,0
16.0,1569294840473.0,1,0,0
16.0,1569294840934.0,1,0,0
15.0,1569294841394.0,1,0,0
15.0,1569294841854.0,1,0,0
15.0,1569294842314.0,1,0,0
15.0,1569294842774.0,1,0,0
14.0,1569294843234.0,1,0,0
14.0,1569294843704.0,1,0,0
15.0,1569294844164.0,1,0,0
15.0,1569294844634.0,1,0,0
16.0,1569294845093.0,1,0,0
17.0,1569294845554.0,1,0,0
17.0,1569294846014.0,1,0,0
17.0,1569294846474.0,1,0,0
17.0,1569294846934.0,1,0,0
17.0,1569294847394.0,1,0,0
17.0,1569294847864.0,1,0,0
17.0,1569294848345.0,1,0,0
17.0,1569294848784.0,1,0,0
17.0,1569294849243.0,8,0,0
17.0,1569294849704.0,8,0,0
16.0,1569294850163.0,8,0,0
16.0,1569294850614.0,8,0,0
15.0,1569294851074.0,8,0,0
14.0,1569294851542.0,8,0,0
13.0,1569294851994.0,8,0,0
11.0,1569294852454.0,8,0,0
11.0,1569294852924.0,8,0,0
11.0,1569294853384.0,8,0,0
11.0,1569294853834.0,8,0,0
10.0,1569294854295.0,8,0,0
11.0,1569294854764.0,8,0,0
12.0,1569294855224.0,8,0,0
12.0,1569294855684.0,8,0,0
11.0,1569294856143.0,8,0,0
11.0,1569294856603.0,8,0,0
11.0,1569294857064.0,8,0,0
11.0,1569294857544.0,8,0,0
11.0,1569294857994.0,8,0,0
12.0,1569294858474.0,8,0,0
13.0,1569294858949.0,8,0,0
14.0,1569294859384.0,8,0,0
14.0,1569294859844.0,8,0,0
14.0,1569294860304.0,8,0,0
14.0,1569294860764.0,8,0,0
14.0,1569294861226.0,8,0,0
14.0,1569294861694.0,8,0,0
14.0,1569294862153.0,8,0,0
14.0,1569294862614.0,8,0,0
14.0,1569294863084.0,8,0,0
14.0,1569294863544.0,8,0,0
14.0,1569294864004.0,8,0,0
14.0,1569294864464.0,8,0,0
14.0,1569294864934.0,8,0,0
14.0,1569294865393.0,8,0,0
14.0,1569294865853.0,8,0,0
14.0,1569294866321.0,8,0,0
14.0,1569294866774.0,8,0,0
14.0,1569294867234.0,8,0,0
14.0,1569294867693.0,8,0,0
15.0,1569294868154.0,8,0,0
15.0,1569294868613.0,8,0,0
15.0,1569294869074.0,8,0,0
15.0,1569294869541.0,8,0,0
15.0,1569294869984.0,8,0,0
15.0,1569294870444.0,8,0,0
15.0,1569294870904.0,8,0,0
15.0,1569294871364.0,8,0,0
15.0,1569294871824.0,8,0,0
15.0,1569294872284.0,8,0,0
15.0,1569294872743.0,8,0,0
15.0,1569294873204.0,8,0,0
15.0,1569294873663.0,8,0,0
15.0,1569294874124.0,8,0,0
15.0,1569294874584.0,8,0,0
15.0,1569294875044.0,8,0,0
16.0,1569294875504.0,8,0,0
17.0,1569294875974.0,8,0,0
17.0,1569294876424.0,8,0,0
18.0,1569294876891.0,8,0,0
18.0,1569294877354.0,8,0,0
19.0,1569294877814.0,8,0,0
19.0,1569294878275.0,8,0,0
19.0,1569294878734.0,8,0,0
20.0,1569294879194.0,8,0,0
20.0,1569294879654.0,8,0,0
20.0,1569294880124.0,8,0,0
