X-axis Acceleration,Y-axis Acceleration,Z-axis Acceleration,X-axis Gyroscope,Y-axis Gyroscope,Z-axis Gyroscope, Timestamp,Action,BUMP,Traffic congestion
0.12689269,0.090979666,9.713276,-0.13962634,-0.5061455,-0.17453294,1569294764327,0,0,0
0.22984336,0.076614454,9.6845455,-0.19198623,-0.5061455,-0.15707964,1569294764379,0,0,0
0.32800564,-0.023942016,9.775525,-0.13962634,-0.40142572,-0.17453294,1569294764431,0,0,0
0.22744916,0.045489833,9.677363,-0.13962634,-0.33161256,-0.08726647,1569294764502,0,0,0
0.19632454,0.04309563,9.76116,-0.122173056,-0.48869222,-0.13962634,1569294764537,0,0,0
0.30645782,0.093373865,9.813833,-0.10471976,-0.38397247,-0.08726647,1569294764588,0,0,0
0.22505496,0.01436521,9.579201,-0.06981317,-0.38397247,-0.13962634,1569294764641,0,0,0
0.1388637,0.05746084,9.660604,-0.20943952,-0.48869222,-0.17453294,1569294764693,0,0,0
0.2825158,0.019153614,9.782708,-0.24434611,-0.40142572,-0.08726647,1569294764746,0,0,0
0.2681506,0.093373865,9.622296,-0.08726647,-0.41887903,-0.13962634,1569294764798,0,0,0
0.1604115,0.074220255,9.691729,-0.122173056,-0.38397247,-0.08726647,1569294764850,0,0,0
0.20829555,0.0023942017,9.797073,-0.20943952,-0.41887903,-0.13962634,1569294764903,0,0,0
0.260968,0.0,9.818622,-0.17453294,-0.41887903,-0.17453294,1569294764958,0,0,0
0.17477672,0.11252748,9.655815,-0.10471976,-0.43633232,-0.122173056,1569294765008,0,0,0
0.19632454,0.021547815,9.722853,-0.19198623,-0.45378563,-0.20943952,1569294765061,0,0,0
0.24420857,-0.062249243,9.801862,-0.122173056,-0.45378563,-0.15707964,1569294765114,0,0,0
0.11731588,0.1604115,9.706094,-0.08726647,-0.36651915,-0.22689281,1569294765167,0,0,0
0.16998832,0.05746084,9.7324295,-0.19198623,-0.40142572,-0.13962634,1569294765219,0,0,0
