DT_tiltAccAngle,Timestamp,Action,Bump,Traffic congestion
0.0,1569323552205.0,0,0,0
0.0,1569323552663.0,0,0,0
0.0,1569323553123.0,0,0,0
0.0,1569323553583.0,0,0,0
0.0,1569323554044.0,0,0,0
0.0,1569323554513.0,0,0,0
0.0,1569323554963.0,0,0,0
0.0,1569323555422.0,0,0,0
0.0,1569323555892.0,0,0,0
0.0,1569323556343.0,0,0,0
0.0,1569323556803.0,0,0,0
0.0,1569323557262.0,1,0,0
0.0,1569323557723.0,1,0,0
0.0,1569323558182.0,1,0,0
0.0,1569323558643.0,1,0,0
0.0,1569323559102.0,1,0,0
0.0,1569323559562.0,1,0,0
0.0,1569323560024.0,1,0,0
0.0,1569323560482.0,1,0,0
0.0,1569323560943.0,-1,0,0
0.0,1569323561402.0,-1,0,0
0.0,1569323561863.0,-1,0,0
0.0,1569323562361.0,-1,0,0
0.0,1569323562783.0,-1,0,0
0.0,1569323563242.0,-1,0,0
0.0,1569323563703.0,-1,0,0
0.0,1569323564163.0,-1,0,0
0.0,1569323564635.0,-1,0,0
0.0,1569323565092.0,-1,0,0
0.0,1569323565581.0,-1,0,0
0.0,1569323566022.0,-1,0,0
0.0,1569323566483.0,-1,0,0
0.0,1569323566953.0,-1,0,0
0.0,1569323567412.0,-1,0,0
0.0,1569323567863.0,-1,0,0
0.0,1569323568333.0,-1,0,0
0.0,1569323568793.0,-1,0,0
0.0,1569323569254.0,-1,0,0
0.0,1569323569713.0,-1,0,0
0.0,1569323570173.0,-1,0,0
0.0,1569323570633.0,-1,0,0
0.0,1569323571093.0,-1,0,0
0.0,1569323571563.0,-1,0,0
0.0,1569323572013.0,-1,0,0
0.0,1569323572473.0,-1,0,0
0.0,1569323572933.0,-1,0,0
0.0,1569323573393.0,-1,0,0
0.0,1569323573854.0,-1,0,0
0.0,1569323574313.0,-1,0,0
0.0,1569323574783.0,-1,0,0
0.0,1569323575243.0,-1,0,0
0.0,1569323575713.0,-1,0,0
0.0,1569323576176.0,-1,0,0
0.0,1569323576633.0,-1,0,0
0.0,1569323577093.0,-1,0,0
0.0,1569323577553.0,-1,0,0
0.0,1569323578013.0,-1,0,0
0.0,1569323578473.0,-1,0,0
0.0,1569323578932.0,-1,0,0
0.0,1569323579393.0,-1,0,0
0.0,1569323579853.0,-1,0,0
0.0,1569323580313.0,-1,0,0
0.0,1569323580783.0,-1,0,0
0.0,1569323581244.0,-1,0,0
0.0,1569323581703.0,-1,0,0
0.0,1569323582163.0,-1,0,0
0.0,1569323582625.0,-1,0,0
0.0,1569323583093.0,-1,0,0
0.0,1569323583553.0,-1,0,0
0.0,1569323584012.0,-1,0,0
0.0,1569323584505.0,-1,0,0
0.0,1569323584934.0,-1,0,0
0.0,1569323585394.0,-1,0,0
0.0,1569323585853.0,-1,0,0
0.0,1569323586313.0,-1,0,0
0.0,1569323586764.0,-1,0,0
0.0,1569323587223.0,-1,0,0
0.0,1569323587683.0,-1,0,0
0.0,1569323588143.0,-1,0,0
0.0,1569323588613.0,-1,0,0
0.0,1569323589075.0,-1,0,0
0.0,1569323589534.0,-1,0,0
0.0,1569323589994.0,-1,0,0
0.0,1569323590454.0,-1,0,0
0.0,1569323590913.0,-1,0,0
0.0,1569323591385.0,-1,0,0
0.0,1569323591848.0,-1,0,0
0.0,1569323592304.0,-1,0,0
0.0,1569323592774.0,-1,0,0
0.0,1569323593234.0,-1,0,0
0.0,1569323593694.0,-1,0,0
0.0,1569323594154.0,-1,0,0
0.0,1569323594614.0,-1,0,0
0.0,1569323595073.0,-1,0,0
0.0,1569323595544.0,-1,0,0
0.0,1569323596003.0,-1,0,0
0.0,1569323596454.0,-1,0,0
0.0,1569323596924.0,-1,0,0
0.0,1569323597374.0,-1,0,0
0.0,1569323597843.0,-1,0,0
0.0,1569323598304.0,-1,0,0
0.0,1569323598764.0,-1,0,0
0.0,1569323599224.0,-1,0,0
0.0,1569323599683.0,-1,0,0
0.0,1569323600144.0,-1,0,0
0.0,1569323600604.0,-1,0,0
0.0,1569323601064.0,-1,0,0
0.0,1569323601524.0,-1,0,0
0.0,1569323601984.0,-1,0,0
0.0,1569323602480.0,-1,0,0
0.0,1569323602903.0,-1,0,0
0.0,1569323603364.0,-1,0,0
0.0,1569323603834.0,-1,0,0
0.0,1569323604294.0,-1,0,0
0.0,1569323604753.0,-1,0,0
0.0,1569323605203.0,-1,0,0
0.0,1569323605664.0,-1,0,0
0.0,1569323606124.0,-1,0,0
0.0,1569323606594.0,-1,0,0
0.0,1569323607043.0,-1,0,0
0.0,1569323607504.0,-1,0,0
0.0,1569323607973.0,-1,0,0
0.0,1569323608435.0,-1,0,0
0.0,1569323608895.0,-1,0,0
0.0,1569323609354.0,-1,0,0
0.0,1569323609814.0,-1,0,0
0.0,1569323610264.0,-1,0,0
0.0,1569323610734.0,-1,0,0
0.0,1569323611193.0,-1,0,0
0.0,1569323611654.0,-1,0,0
0.0,1569323612113.0,-1,0,0
0.0,1569323612585.0,-1,0,0
0.0,1569323613044.0,-1,0,0
0.0,1569323613513.0,-1,0,0
0.0,1569323613974.0,-1,0,0
0.0,1569323614435.0,-1,0,0
0.0,1569323614904.0,-1,0,0
0.0,1569323615363.0,-1,0,0
0.0,1569323615824.0,-1,0,0
0.0,1569323616339.0,-1,0,0
0.0,1569323616743.0,-1,0,0
0.0,1569323617214.0,-1,0,0
0.0,1569323617675.0,-1,0,0
0.0,1569323618134.0,-1,0,0
0.0,1569323618594.0,-1,0,0
0.0,1569323619054.0,-1,0,0
0.0,1569323619544.0,-1,0,0
0.0,1569323619974.0,-1,0,0
0.0,1569323620434.0,-1,0,0
0.0,1569323620894.0,-1,0,0
0.0,1569323621354.0,-1,0,0
0.0,1569323621814.0,-1,0,0
0.0,1569323622274.0,-1,0,0
0.0,1569323622752.0,-1,0,0
0.0,1569323623204.0,-1,0,0
0.0,1569323623666.0,-1,0,0
0.0,1569323624125.0,-1,0,0
0.0,1569323624584.0,-1,0,0
0.0,1569323625054.0,-1,0,0
0.0,1569323625514.0,-1,0,0
0.0,1569323625984.0,-1,0,0
0.0,1569323626443.0,-1,0,0
0.0,1569323626915.0,-1,0,0
0.0,1569323627364.0,-1,0,0
0.0,1569323627824.0,-1,0,0
0.0,1569323628284.0,-1,0,0
0.0,1569323628744.0,-1,0,0
0.0,1569323629204.0,-1,0,0
0.0,1569323629674.0,-1,0,0
0.0,1569323630134.0,-1,0,0
0.0,1569323630595.0,-1,0,0
0.0,1569323631054.0,-1,0,0
0.0,1569323631524.0,-1,0,0
