DT_steerAngle,Timestamp,Action,Bump,Traffic congestion
-4.1000000000000005,1569323552451.0,0,0,0
-4.1000000000000005,1569323552914.0,0,0,0
-4.1000000000000005,1569323553370.0,0,0,0
-4.1000000000000005,1569323553839.0,0,0,0
-4.1000000000000005,1569323554290.0,0,0,0
-4.1000000000000005,1569323554751.0,0,0,0
-4.1000000000000005,1569323555211.0,0,0,0
-4.1000000000000005,1569323555671.0,0,0,0
-4.1000000000000005,1569323556131.0,0,0,0
-4.1000000000000005,1569323556591.0,0,0,0
-4.1000000000000005,1569323557046.0,1,0,0
-4.1000000000000005,1569323557506.0,1,0,0
0.9,1569323557967.0,1,0,0
3.6,1569323558426.0,1,0,0
-3.1,1569323558887.0,1,0,0
-3.1,1569323559346.0,1,0,0
-3.1,1569323559806.0,1,0,0
-6.1000000000000005,1569323560266.0,1,0,0
-8.5,1569323560726.0,-1,0,0
-8.700000000000001,1569323561191.0,-1,0,0
-8.6,1569323561651.0,-1,0,0
-1.3,1569323562111.0,-1,0,0
6.6000000000000005,1569323562571.0,-1,0,0
27.3,1569323563031.0,-1,0,0
74.5,1569323563491.0,-1,0,0
148.9,1569323563946.0,-1,0,0
247.10000000000002,1569323564411.0,-1,0,0
328.3,1569323564881.0,-1,0,0
415.20000000000005,1569323565341.0,-1,0,0
491.20000000000005,1569323565806.0,-1,0,0
488.8,1569323566267.0,-1,0,0
488.20000000000005,1569323566736.0,-1,0,0
488.20000000000005,1569323567191.0,-1,0,0
488.1,1569323567656.0,-1,0,0
485.20000000000005,1569323568116.0,-1,0,0
478.1,1569323568576.0,-1,0,0
433.8,1569323569031.0,-1,0,0
353.70000000000005,1569323569496.0,-1,0,0
267.7,1569323569956.0,-1,0,0
207.60000000000002,1569323570416.0,-1,0,0
137.6,1569323570876.0,-1,0,0
66.4,1569323571341.0,-1,0,0
12.100000000000001,1569323571805.0,-1,0,0
-4.0,1569323572261.0,-1,0,0
-8.5,1569323572720.0,-1,0,0
-6.300000000000001,1569323573180.0,-1,0,0
-5.800000000000001,1569323573639.0,-1,0,0
-5.2,1569323574100.0,-1,0,0
-6.5,1569323574567.0,-1,0,0
-28.3,1569323575030.0,-1,0,0
-78.7,1569323575490.0,-1,0,0
-104.60000000000001,1569323575955.0,-1,0,0
-84.5,1569323576420.0,-1,0,0
-17.7,1569323576880.0,-1,0,0
26.900000000000002,1569323577340.0,-1,0,0
75.7,1569323577795.0,-1,0,0
91.60000000000001,1569323578255.0,-1,0,0
86.10000000000001,1569323578715.0,-1,0,0
26.0,1569323579175.0,-1,0,0
-1.1,1569323579634.0,-1,0,0
-0.7000000000000001,1569323580094.0,-1,0,0
-0.7000000000000001,1569323580566.0,-1,0,0
-0.7000000000000001,1569323581025.0,-1,0,0
-0.5,1569323581484.0,-1,0,0
-0.5,1569323581944.0,-1,0,0
0.0,1569323582415.0,-1,0,0
8.6,1569323582870.0,-1,0,0
31.200000000000003,1569323583334.0,-1,0,0
90.5,1569323583800.0,-1,0,0
167.60000000000002,1569323584260.0,-1,0,0
249.10000000000002,1569323584720.0,-1,0,0
330.0,1569323585180.0,-1,0,0
409.3,1569323585639.0,-1,0,0
456.70000000000005,1569323586095.0,-1,0,0
489.40000000000003,1569323586555.0,-1,0,0
484.1,1569323587010.0,-1,0,0
477.90000000000003,1569323587470.0,-1,0,0
449.5,1569323587930.0,-1,0,0
395.8,1569323588395.0,-1,0,0
267.5,1569323588855.0,-1,0,0
161.60000000000002,1569323589315.0,-1,0,0
93.0,1569323589780.0,-1,0,0
13.3,1569323590240.0,-1,0,0
-3.0,1569323590705.0,-1,0,0
-3.4000000000000004,1569323591166.0,-1,0,0
-3.4000000000000004,1569323591630.0,-1,0,0
-0.30000000000000004,1569323592085.0,-1,0,0
-0.4,1569323592555.0,-1,0,0
-5.800000000000001,1569323593020.0,-1,0,0
-7.6000000000000005,1569323593480.0,-1,0,0
-7.5,1569323593939.0,-1,0,0
-5.9,1569323594400.0,-1,0,0
-15.3,1569323594859.0,-1,0,0
-46.7,1569323595320.0,-1,0,0
-81.30000000000001,1569323595784.0,-1,0,0
-88.10000000000001,1569323596245.0,-1,0,0
-77.9,1569323596705.0,-1,0,0
-21.5,1569323597165.0,-1,0,0
41.5,1569323597624.0,-1,0,0
102.60000000000001,1569323598085.0,-1,0,0
89.5,1569323598545.0,-1,0,0
34.800000000000004,1569323599004.0,-1,0,0
20.8,1569323599465.0,-1,0,0
8.5,1569323599925.0,-1,0,0
0.6000000000000001,1569323600388.0,-1,0,0
1.5,1569323600849.0,-1,0,0
4.5,1569323601309.0,-1,0,0
3.9000000000000004,1569323601769.0,-1,0,0
3.9000000000000004,1569323602224.0,-1,0,0
2.3000000000000003,1569323602689.0,-1,0,0
-3.9000000000000004,1569323603148.0,-1,0,0
-6.1000000000000005,1569323603614.0,-1,0,0
-6.1000000000000005,1569323604074.0,-1,0,0
-6.0,1569323604534.0,-1,0,0
-3.9000000000000004,1569323604989.0,-1,0,0
30.1,1569323605448.0,-1,0,0
110.60000000000001,1569323605909.0,-1,0,0
196.8,1569323606373.0,-1,0,0
278.3,1569323606834.0,-1,0,0
381.0,1569323607289.0,-1,0,0
457.90000000000003,1569323607749.0,-1,0,0
489.5,1569323608214.0,-1,0,0
488.6,1569323608673.0,-1,0,0
