accLateral_data,Timestamp,Action,Bump,Traffic congestion
0.0,1577246390810,0,0,0
0.0,1577246391270,0,0,0
0.0,1577246391720,0,0,0
0.0,1577246392170,0,0,0
0.0,1577246392621,0,0,0
0.0,1577246393070,0,0,0
0.0,1577246393521,0,0,0
0.0,1577246393971,0,0,0
0.0,1577246394420,0,0,0
0.0,1577246394870,0,0,0
0.0,1577246395321,0,0,0
0.0,1577246395771,0,0,0
0.0,1577246396220,0,0,0
0.0,1577246396670,0,0,0
0.0,1577246397120,-1,0,0
0.0,1577246397570,-1,0,0
0.0,1577246398020,-1,0,0
0.0,1577246398470,-1,0,0
0.0,1577246398920,-1,0,0
0.002,1577246399371,-1,0,0
0.002,1577246399820,-1,0,0
0.0,1577246400270,-1,0,0
-0.001,1577246400721,-1,0,0
-0.001,1577246401170,-1,0,0
-0.001,1577246401620,-1,0,0
-0.003,1577246402070,-1,0,0
-0.001,1577246402521,-1,0,0
-0.002,1577246402970,1,0,0
0.002,1577246403421,1,0,0
0.0,1577246403871,1,0,0
0.002,1577246404321,1,0,0
-0.001,1577246404781,1,0,0
0.0,1577246405231,1,0,0
0.0,1577246405681,1,0,0
0.0,1577246406131,1,0,0
-0.001,1577246406582,1,0,0
0.0,1577246407031,1,0,0
-0.002,1577246407491,1,0,0
-0.001,1577246407941,1,0,0
0.003,1577246408390,1,0,0
0.002,1577246408841,1,0,0
0.0,1577246409290,1,0,0
0.0,1577246409741,1,0,0
0.002,1577246410190,1,0,0
0.0,1577246410647,3,0,0
-0.001,1577246411100,3,0,0
0.0,1577246411551,3,0,0
-0.001,1577246412001,3,0,0
-0.002,1577246412451,3,0,0
-0.003,1577246412900,3,0,0
-0.002,1577246413350,3,0,0
-0.001,1577246413800,3,0,0
-0.005,1577246414250,3,0,0
-0.008,1577246414700,3,0,0
-0.01,1577246415150,3,0,0
-0.008,1577246415601,3,0,0
-0.009000000000000001,1577246416050,3,0,0
-0.011,1577246416500,3,0,0
-0.01,1577246416951,3,0,0
-0.003,1577246417400,3,0,0
-0.003,1577246417851,3,0,0
0.0,1577246418301,3,0,0
-0.002,1577246418751,3,0,0
-0.001,1577246419201,3,0,0
-0.002,1577246419651,3,0,0
-0.003,1577246420101,1,0,0
0.0,1577246420551,1,0,0
-0.002,1577246421001,1,0,0
-0.003,1577246421451,1,0,0
-0.003,1577246421900,1,0,0
-0.005,1577246422351,1,0,0
-0.004,1577246422801,1,0,0
-0.004,1577246423251,1,0,0
-0.003,1577246423700,1,0,0
-0.001,1577246424151,1,0,0
-0.002,1577246424600,1,0,0
-0.004,1577246425051,1,0,0
-0.004,1577246425500,1,0,0
-0.005,1577246425951,1,0,0
-0.003,1577246426410,1,0,0
-0.003,1577246426860,1,0,0
-0.003,1577246427310,1,0,0
-0.003,1577246427761,2,0,0
-0.003,1577246428210,2,0,0
-0.004,1577246428660,2,0,0
-0.003,1577246429111,2,0,0
-0.002,1577246429560,2,0,0
-0.002,1577246430011,2,0,0
-0.003,1577246430461,2,0,0
-0.002,1577246430910,2,0,0
-0.003,1577246431361,2,0,0
-0.002,1577246431811,2,0,0
-0.002,1577246432260,2,0,0
-0.001,1577246432710,2,0,0
0.0,1577246433161,2,0,0
-0.002,1577246433611,2,0,0
-0.002,1577246434061,2,0,0
-0.001,1577246434510,2,0,0
0.0,1577246434961,2,0,0
0.002,1577246435410,2,0,0
0.001,1577246435861,2,0,0
0.002,1577246436311,2,0,0
