DT_verticalAccOri,Timestamp,Action,Bump,Traffic congestion
-0.063,1569376858830.0,1,0,0
-0.063,1569376859288.0,1,0,0
-0.032,1569376859749.0,1,0,0
-0.032,1569376860219.0,1,0,0
-0.032,1569376860681.0,1,0,0
-0.032,1569376861148.0,1,0,0
-0.032,1569376861599.0,1,0,0
-0.032,1569376862059.0,1,0,0
-0.032,1569376862519.0,1,0,0
-0.032,1569376862978.0,1,0,0
-0.063,1569376863448.0,1,0,0
-0.032,1569376863900.0,1,0,0
-0.063,1569376864359.0,1,0,0
-0.032,1569376864829.0,5,0,0
0.125,1569376865294.0,5,0,0
0.187,1569376865749.0,5,0,0
0.218,1569376866209.0,5,0,0
0.218,1569376866669.0,5,0,0
0.187,1569376867129.0,5,0,0
0.187,1569376867589.0,5,0,0
0.156,1569376868049.0,5,0,0
0.187,1569376868509.0,5,0,0
0.156,1569376868969.0,5,0,0
0.062,1569376869429.0,5,0,0
-0.094,1569376869889.0,5,0,0
-0.125,1569376870359.0,5,0,0
-0.125,1569376870819.0,1,0,0
-0.094,1569376871279.0,1,0,0
-0.094,1569376871739.0,1,0,0
-0.28200000000000003,1569376872203.0,1,0,0
-0.219,1569376872669.0,1,0,0
-0.28200000000000003,1569376873139.0,1,0,0
-0.28200000000000003,1569376873599.0,1,0,0
-0.313,1569376874049.0,1,0,0
-0.28200000000000003,1569376874509.0,1,0,0
-0.313,1569376874969.0,1,0,0
-0.28200000000000003,1569376875429.0,1,0,0
-0.313,1569376875889.0,1,0,0
-0.5,1569376876349.0,1,0,0
-0.34400000000000003,1569376876808.0,1,0,0
-0.125,1569376877269.0,9,0,0
-0.032,1569376877729.0,9,0,0
0.0,1569376878188.0,9,0,0
-0.063,1569376878649.0,9,0,0
-0.188,1569376879109.0,9,0,0
-0.188,1569376879569.0,9,0,0
-0.157,1569376880053.0,9,0,0
0.062,1569376880498.0,9,0,0
0.218,1569376880959.0,9,0,0
0.187,1569376881419.0,9,0,0
0.218,1569376881879.0,9,0,0
0.281,1569376882340.0,9,0,0
0.187,1569376882798.0,9,0,0
0.281,1569376883269.0,9,0,0
0.312,1569376883720.0,9,0,0
0.406,1569376884189.0,9,0,0
0.375,1569376884649.0,9,0,0
0.375,1569376885119.0,9,0,0
0.375,1569376885579.0,9,0,0
0.343,1569376886038.0,9,0,0
0.437,1569376886498.0,9,0,0
0.375,1569376886958.0,9,0,0
0.406,1569376887419.0,9,0,0
0.375,1569376887889.0,9,0,0
0.375,1569376888349.0,9,0,0
0.218,1569376888808.0,9,0,0
0.218,1569376889268.0,9,0,0
0.156,1569376889728.0,9,0,0
0.187,1569376890188.0,9,0,0
0.156,1569376890655.0,9,0,0
0.187,1569376891108.0,9,0,0
0.187,1569376891568.0,9,0,0
0.187,1569376892028.0,9,0,0
0.218,1569376892498.0,9,0,0
0.25,1569376892958.0,9,0,0
0.218,1569376893419.0,9,0,0
0.125,1569376893879.0,9,0,0
0.218,1569376894339.0,9,0,0
0.343,1569376894799.0,9,0,0
0.218,1569376895258.0,9,0,0
-0.375,1569376895719.0,9,0,0
-1.282,1569376896178.0,9,0,0
-1.313,1569376896648.0,9,0,0
-1.282,1569376897109.0,9,0,0
-0.782,1569376897569.0,9,0,0
-0.28200000000000003,1569376898050.0,4,0,1
-0.188,1569376898489.0,4,0,1
-0.157,1569376898949.0,4,0,1
-0.125,1569376899409.0,4,0,1
0.187,1569376899869.0,4,0,1
0.156,1569376900329.0,4,0,1
0.093,1569376900791.0,4,0,1
0.125,1569376901259.0,4,0,1
0.187,1569376901709.0,4,0,1
0.156,1569376902169.0,4,0,1
0.156,1569376902631.0,4,0,1
0.25,1569376903089.0,4,0,1
0.062,1569376903549.0,4,0,1
-0.032,1569376904009.0,4,0,1
-0.188,1569376904469.0,4,0,1
-0.46900000000000003,1569376904928.0,4,0,1
-0.844,1569376905389.0,4,0,1
-0.657,1569376905849.0,3,0,1
-0.157,1569376906319.0,3,0,1
-0.125,1569376906770.0,3,0,1
-0.219,1569376907240.0,3,0,1
-0.157,1569376907699.0,3,0,1
0.125,1569376908159.0,3,0,1
0.218,1569376908640.0,3,0,1
0.406,1569376909079.0,3,0,1
0.937,1569376909551.0,3,0,1
0.656,1569376910009.0,3,0,1
0.031,1569376910468.0,3,0,1
0.031,1569376910930.0,3,0,1
0.031,1569376911394.0,3,0,1
0.031,1569376911849.0,3,0,1
0.031,1569376912309.0,3,0,1
0.093,1569376912769.0,3,0,1
0.5,1569376913238.0,3,0,1
0.875,1569376913698.0,3,0,1
0.406,1569376914160.0,3,0,1
0.0,1569376914620.0,3,0,1
-0.188,1569376915079.0,3,0,1
-1.219,1569376915550.0,3,0,1
0.0,1569376916009.0,3,0,1
-0.532,1569376916469.0,3,0,1
-0.532,1569376916929.0,0,0,0
0.343,1569376917392.0,0,0,0
0.156,1569376917849.0,0,0,0
0.25,1569376918309.0,0,0,0
0.281,1569376918770.0,0,0,0
0.343,1569376919260.0,0,0,0
0.468,1569376919700.0,0,0,0
0.593,1569376920160.0,0,0,0
0.562,1569376920620.0,0,0,0
0.781,1569376921080.0,3,0,0
1.4060000000000001,1569376921540.0,3,0,0
1.218,1569376922000.0,3,0,0
0.968,1569376922467.0,3,0,0
0.812,1569376922920.0,3,0,0
0.687,1569376923380.0,3,0,0
0.656,1569376923840.0,3,0,0
0.687,1569376924310.0,3,0,0
0.718,1569376924770.0,3,0,0
0.718,1569376925230.0,3,0,0
0.75,1569376925690.0,3,0,0
0.625,1569376926150.0,3,0,0
0.562,1569376926610.0,3,0,0
0.843,1569376927070.0,3,0,0
0.5,1569376927529.0,3,0,0
0.156,1569376927990.0,3,0,0
0.0,1569376928450.0,3,0,0
0.093,1569376928910.0,3,0,0
0.0,1569376929370.0,3,0,0
0.0,1569376929830.0,3,0,0
0.0,1569376930300.0,1,0,1
0.0,1569376930760.0,1,0,1
0.031,1569376931220.0,1,0,1
0.0,1569376931680.0,1,0,1
-0.032,1569376932140.0,1,0,1
0.25,1569376932600.0,1,0,1
0.156,1569376933060.0,1,0,1
0.0,1569376933530.0,1,0,1
0.031,1569376933990.0,1,0,1
0.468,1569376934441.0,1,0,1
0.906,1569376934910.0,1,0,1
1.156,1569376935370.0,4,0,1
0.406,1569376935830.0,4,0,1
0.031,1569376936290.0,4,0,1
0.0,1569376936740.0,4,0,1
0.437,1569376937241.0,4,0,1
0.656,1569376937670.0,4,0,1
0.656,1569376938130.0,4,0,1
0.0,1569376938580.0,4,0,1
0.031,1569376939051.0,4,0,1
-0.032,1569376939510.0,4,0,1
-0.063,1569376939970.0,4,0,1
-0.063,1569376940440.0,4,0,1
-0.032,1569376940890.0,4,0,1
0.0,1569376941350.0,4,0,1
-0.032,1569376941810.0,4,0,1
0.0,1569376942280.0,4,0,1
0.0,1569376942740.0,4,0,1
-0.032,1569376943200.0,4,0,1
0.0,1569376943660.0,4,0,1
0.937,1569376944119.0,4,0,1
1.5,1569376944580.0,4,0,1
0.937,1569376945040.0,4,0,1
0.281,1569376945500.0,1,0,0
0.156,1569376945960.0,1,0,0
0.25,1569376946430.0,1,0,0
0.25,1569376946880.0,1,0,0
0.25,1569376947340.0,1,0,0
0.218,1569376947800.0,1,0,0
0.25,1569376948260.0,1,0,0
0.25,1569376948720.0,1,0,0
0.218,1569376949180.0,1,0,0
0.187,1569376949641.0,1,0,0
0.25,1569376950100.0,1,0,0
0.218,1569376950570.0,1,0,0
0.218,1569376951035.0,1,0,0
0.062,1569376951490.0,1,0,0
0.0,1569376951940.0,1,0,0
0.0,1569376952400.0,1,0,0
-0.032,1569376952860.0,1,0,0
-0.125,1569376953340.0,1,0,0
-0.063,1569376953790.0,1,0,0
-0.032,1569376954260.0,1,0,0
-0.063,1569376954720.0,1,0,0
-0.032,1569376955180.0,1,0,0
0.0,1569376955640.0,1,0,0
-0.094,1569376956100.0,1,0,0
-0.25,1569376956570.0,1,0,0
-0.532,1569376957020.0,1,0,0
-0.157,1569376957490.0,1,0,0
-0.157,1569376957950.0,1,0,0
-0.313,1569376958488.0,1,0,0
-0.313,1569376958870.0,1,0,0
-0.313,1569376959340.0,1,0,0
-0.157,1569376959790.0,1,0,0
-0.188,1569376960249.0,-1,0,1
-0.313,1569376960721.0,-1,0,1
-0.157,1569376961180.0,-1,0,1
-0.313,1569376961640.0,-1,0,1
-1.0,1569376962110.0,-1,0,1
-1.0,1569376962570.0,-1,0,1
-0.5630000000000001,1569376963030.0,-1,0,1
-1.188,1569376963490.0,-1,0,1
