DT_acceleration,Timestamp,Action,Bump,Traffic congestion
-0.08600000000000001,1569376933880.0,1,0,1
-0.065,1569376934340.0,1,0,1
0.314,1569376934800.0,1,0,1
0.654,1569376935260.0,4,0,1
0.767,1569376935720.0,4,0,1
0.40900000000000003,1569376936180.0,4,0,1
0.05,1569376936640.0,4,0,1
-0.026000000000000002,1569376937100.0,4,0,1
0.136,1569376937560.0,4,0,1
0.28400000000000003,1569376938020.0,4,0,1
0.218,1569376938480.0,4,0,1
0.061,1569376938940.0,4,0,1
-0.108,1569376939400.0,4,0,1
-0.17400000000000002,1569376939860.0,4,0,1
-0.20500000000000002,1569376940320.0,4,0,1
-0.227,1569376940780.0,4,0,1
-0.20800000000000002,1569376941239.0,4,0,1
-0.165,1569376941700.0,4,0,1
-0.158,1569376942170.0,4,0,1
-0.152,1569376942630.0,4,0,1
-0.148,1569376943090.0,4,0,1
-0.136,1569376943599.0,4,0,1
-0.084,1569376944010.0,4,0,1
0.773,1569376944480.0,4,0,1
0.9530000000000001,1569376944930.0,4,0,1
0.714,1569376945390.0,1,0,0
0.398,1569376945850.0,1,0,0
0.221,1569376946310.0,1,0,0
0.194,1569376946781.0,1,0,0
0.17,1569376947230.0,1,0,0
0.164,1569376947690.0,1,0,0
0.168,1569376948150.0,1,0,0
0.153,1569376948610.0,1,0,0
0.148,1569376949070.0,1,0,0
0.148,1569376949530.0,1,0,0
0.17300000000000001,1569376949990.0,1,0,0
0.159,1569376950460.0,1,0,0
0.161,1569376950920.0,1,0,0
0.14200000000000002,1569376951380.0,1,0,0
0.10300000000000001,1569376951830.0,1,0,0
0.054,1569376952290.0,1,0,0
0.004,1569376952760.0,1,0,0
-0.075,1569376953220.0,1,0,0
-0.105,1569376953690.0,1,0,0
-0.1,1569376954188.0,1,0,0
-0.09,1569376954610.0,1,0,0
-0.065,1569376955080.0,1,0,0
-0.046,1569376955530.0,1,0,0
-0.047,1569376955990.0,1,0,0
-0.062,1569376956466.0,1,0,0
-0.25,1569376956910.0,1,0,0
-0.334,1569376957380.0,1,0,0
-0.248,1569376957840.0,1,0,0
-0.199,1569376958300.0,1,0,0
-0.267,1569376958760.0,1,0,0
-0.299,1569376959230.0,1,0,0
-0.27,1569376959680.0,1,0,0
-0.202,1569376960140.0,-1,0,1
-0.213,1569376960610.0,-1,0,1
-0.231,1569376961070.0,-1,0,1
-0.158,1569376961540.0,-1,0,1
-0.28200000000000003,1569376962000.0,-1,0,1
-0.757,1569376962460.0,-1,0,1
-0.789,1569376962920.0,-1,0,1
-0.804,1569376963380.0,-1,0,1
-0.9550000000000001,1569376963840.0,-1,0,1
-0.747,1569376964300.0,-1,0,1
-0.317,1569376964788.0,-1,0,1
-0.054,1569376965232.0,-1,0,1
0.055,1569376965690.0,-1,0,1
0.063,1569376966150.0,-1,0,1
0.063,1569376966610.0,-1,0,1
0.074,1569376967070.0,-1,0,1
0.059000000000000004,1569376967530.0,-1,0,1
0.069,1569376967990.0,-1,0,1
0.31,1569376968466.0,-1,0,1
0.727,1569376968920.0,-1,0,1
0.873,1569376969380.0,-1,0,1
0.5650000000000001,1569376969840.0,-1,0,1
0.066,1569376970300.0,1,0,0
-0.089,1569376970770.0,1,0,0
-0.032,1569376971231.0,1,0,0
0.027,1569376971690.0,1,0,0
0.007,1569376972150.0,1,0,0
-0.179,1569376972610.0,1,0,0
-0.245,1569376973070.0,1,0,0
-0.401,1569376973540.0,1,0,0
-0.181,1569376974000.0,1,0,0
-0.097,1569376974467.0,1,0,0
-0.163,1569376974920.0,1,0,0
-0.123,1569376975390.0,1,0,0
-0.017,1569376975849.0,1,0,0
0.066,1569376976310.0,1,0,0
0.28800000000000003,1569376976770.0,1,0,0
0.9440000000000001,1569376977230.0,1,0,0
1.292,1569376977700.0,1,0,0
1.41,1569376978160.0,1,0,0
1.303,1569376978622.0,1,0,0
0.88,1569376979090.0,1,0,0
0.588,1569376979550.0,1,0,0
0.5,1569376980010.0,1,0,0
0.49,1569376980476.0,1,0,0
0.465,1569376980920.0,1,0,0
0.356,1569376981390.0,1,0,0
0.20500000000000002,1569376981840.0,1,0,0
0.07,1569376982310.0,1,0,0
-0.024,1569376982770.0,1,0,0
-0.062,1569376983230.0,1,0,0
-0.122,1569376983690.0,1,0,0
-0.127,1569376984150.0,1,0,0
-0.085,1569376984610.0,1,0,0
-0.096,1569376985080.0,1,0,0
-0.096,1569376985540.0,1,0,0
-0.085,1569376986000.0,1,0,0
-0.074,1569376986467.0,1,0,0
-0.069,1569376986948.0,1,0,0
-0.12,1569376987370.0,1,0,0
-0.114,1569376987840.0,1,0,0
-0.124,1569376988290.0,1,0,0
-0.151,1569376988760.0,1,0,0
-0.135,1569376989220.0,1,0,0
-0.084,1569376989680.0,1,0,0
-0.053,1569376990140.0,1,0,0
-0.04,1569376990600.0,1,0,0
-0.052000000000000005,1569376991060.0,1,0,0
-0.059000000000000004,1569376991520.0,1,0,0
-0.016,1569376991980.0,1,0,0
0.06,1569376992440.0,1,0,0
0.216,1569376992890.0,4,0,0
0.203,1569376993360.0,4,0,0
0.126,1569376993820.0,4,0,0
0.066,1569376994280.0,4,0,0
0.031,1569376994740.0,4,0,0
-0.049,1569376995200.0,4,0,0
-0.223,1569376995650.0,4,0,0
-0.495,1569376996110.0,4,0,0
-0.619,1569376996580.0,4,0,0
-0.615,1569376997030.0,4,0,0
-0.424,1569376997500.0,4,0,0
-0.34700000000000003,1569376997960.0,4,0,0
-0.28200000000000003,1569376998420.0,4,0,0
-0.34900000000000003,1569376998880.0,4,0,0
-0.275,1569376999340.0,4,0,0
-0.115,1569376999800.0,4,0,0
-0.069,1569377000250.0,4,0,0
-0.495,1569377000755.0,4,0,0
-1.2690000000000001,1569377001169.0,4,0,0
-1.7570000000000001,1569377001630.0,4,0,0
-1.3920000000000001,1569377002090.0,4,0,0
-0.599,1569377002560.0,4,0,0
-0.067,1569377003010.0,4,0,0
0.164,1569377003480.0,4,0,0
0.212,1569377003930.0,1,0,0
0.254,1569377004390.0,1,0,0
0.252,1569377004860.0,1,0,0
0.265,1569377005310.0,1,0,0
0.374,1569377005780.0,1,0,0
0.358,1569377006230.0,1,0,0
0.306,1569377006700.0,1,0,0
0.264,1569377007160.0,1,0,0
0.219,1569377007620.0,1,0,0
0.067,1569377008080.0,1,0,0
0.04,1569377008540.0,1,0,0
-0.055,1569377009000.0,1,0,0
0.006,1569377009464.0,1,0,0
0.12,1569377009919.0,1,0,0
0.129,1569377010370.0,-1,0,0
-0.382,1569377010830.0,-1,0,0
-1.095,1569377011314.0,-1,0,0
-0.521,1569377011760.0,-1,0,0
-0.169,1569377012220.0,-1,0,0
-0.063,1569377012679.0,-1,0,0
0.05,1569377013140.0,-1,0,0
0.113,1569377013600.0,-1,0,0
0.11800000000000001,1569377014060.0,-1,0,0
0.11900000000000001,1569377014530.0,1,0,0
0.168,1569377014999.0,1,0,0
0.20500000000000002,1569377015464.0,1,0,0
0.219,1569377015920.0,1,0,0
0.20600000000000002,1569377016381.0,1,0,0
0.20600000000000002,1569377016840.0,1,0,0
0.2,1569377017300.0,1,0,0
0.196,1569377017760.0,1,0,0
0.23,1569377018219.0,1,0,0
0.224,1569377018705.0,1,0,0
0.297,1569377019150.0,1,0,0
0.38,1569377019610.0,1,0,0
0.332,1569377020070.0,1,0,0
0.089,1569377020529.0,1,0,0
-1.179,1569377020990.0,1,0,0
-1.075,1569377021450.0,1,0,0
-0.73,1569377021914.0,1,0,1
-0.631,1569377022369.0,1,0,1
-0.767,1569377022830.0,1,0,1
-0.757,1569377023290.0,1,0,1
-0.761,1569377023750.0,1,0,1
-0.47700000000000004,1569377024210.0,1,0,1
-0.188,1569377024680.0,1,0,1
0.182,1569377025139.0,1,0,1
0.332,1569377025600.0,1,0,1
0.28300000000000003,1569377026106.0,1,0,1
0.133,1569377026530.0,1,0,1
-0.186,1569377026980.0,1,0,1
-0.301,1569377027449.0,1,0,1
-0.197,1569377027919.0,1,0,1
-0.046,1569377028381.0,1,0,0
0.025,1569377028839.0,1,0,0
0.121,1569377029300.0,1,0,0
0.223,1569377029770.0,1,0,0
0.242,1569377030230.0,1,0,0
0.214,1569377030680.0,1,0,0
0.17300000000000001,1569377031140.0,1,0,0
0.167,1569377031610.0,1,0,0
0.187,1569377032060.0,1,0,0
0.199,1569377032530.0,1,0,0
0.223,1569377032990.0,1,0,0
0.257,1569377033450.0,1,0,0
0.256,1569377033911.0,1,0,0
0.257,1569377034390.0,1,0,0
0.242,1569377034850.0,1,0,0
0.234,1569377035309.0,1,0,0
0.20600000000000002,1569377035771.0,1,0,0
0.12,1569377036229.0,1,0,0
-0.054,1569377036689.0,1,0,0
-0.015,1569377037151.0,1,0,0
0.10200000000000001,1569377037610.0,1,0,0
