accVertical_data,Timestamp,Action,Bump,Traffic congestion
-0.064,1577264087073,0,0,0
-0.064,1577264087523,0,0,0
-0.064,1577264087973,0,0,0
-0.078,1577264088423,0,0,0
-0.28200000000000003,1577264088883,10,0,0
-0.318,1577264089283,10,0,0
-0.224,1577264089743,10,0,0
-0.116,1577264090192,10,0,0
-0.116,1577264090642,10,0,0
-0.15,1577264091092,10,0,0
-0.168,1577264091542,10,0,0
-0.22,1577264091993,10,0,0
-0.274,1577264092442,10,0,0
-0.15,1577264092892,10,0,0
-0.006,1577264093342,10,0,0
0.12,1577264093792,10,0,0
-0.024,1577264094242,10,0,0
-0.194,1577264094692,10,0,0
-0.18,1577264095142,10,0,0
-0.096,1577264095592,10,0,0
-0.106,1577264096042,10,0,0
-0.122,1577264096492,10,0,0
-0.04,1577264096942,10,0,0
-0.098,1577264097392,10,0,0
-0.254,1577264097842,10,0,0
-0.20400000000000001,1577264098292,10,0,0
-0.062,1577264098742,10,0,0
-0.01,1577264099192,10,0,0
0.15,1577264099642,10,0,0
0.6920000000000001,1577264100092,10,0,0
0.92,1577264100542,10,0,0
0.6900000000000001,1577264100992,10,0,0
0.342,1577264101442,0,0,0
0.166,1577264101892,0,0,0
0.092,1577264102342,0,0,0
0.07,1577264102792,0,0,0
0.126,1577264103242,0,0,0
0.518,1577264103692,-1,0,0
0.7000000000000001,1577264104142,-1,0,0
0.6900000000000001,1577264104592,-1,0,0
0.59,1577264105042,-1,0,0
0.502,1577264105512,-1,0,0
0.46,1577264105962,-1,0,0
0.396,1577264106412,-1,0,0
0.372,1577264106862,-1,0,0
0.28400000000000003,1577264107312,-1,0,0
0.192,1577264107762,-1,0,0
0.132,1577264108212,-1,0,0
0.162,1577264108662,-1,0,0
0.164,1577264109112,-1,0,0
0.354,1577264109562,-1,0,0
0.234,1577264110012,-1,0,0
0.092,1577264110462,-1,0,0
-0.082,1577264110912,-1,0,0
-0.31,1577264111363,-1,0,0
0.11,1577264111812,-1,0,0
0.964,1577264112262,-1,0,0
0.764,1577264112712,-1,0,0
0.29,1577264113163,-1,0,0
0.022,1577264113612,-1,0,0
0.272,1577264114063,-1,0,0
0.8260000000000001,1577264114513,-1,0,0
1.154,1577264114962,-1,0,0
1.412,1577264115412,-1,0,0
1.196,1577264115862,-1,0,0
0.582,1577264116312,-1,0,0
0.242,1577264116762,-1,0,0
0.096,1577264117213,-1,0,0
0.20400000000000001,1577264117662,-1,0,0
0.53,1577264118112,-1,0,0
0.896,1577264118563,-1,0,0
0.734,1577264119012,-1,0,0
0.496,1577264119463,-1,0,0
0.51,1577264119912,-1,0,0
0.28,1577264120362,-1,0,0
0.054,1577264120812,-1,0,0
-0.112,1577264121262,5,0,0
-0.17200000000000001,1577264121712,5,0,0
-0.214,1577264122163,5,0,0
-0.194,1577264122612,5,0,0
-0.158,1577264123062,5,0,0
-0.038,1577264123512,5,0,0
0.656,1577264123962,5,0,0
1.066,1577264124412,5,0,0
0.844,1577264124862,5,0,0
0.61,1577264125312,5,0,0
0.41200000000000003,1577264125762,5,0,0
0.34600000000000003,1577264126212,5,0,0
0.368,1577264126662,5,0,0
0.40800000000000003,1577264127112,5,0,0
0.422,1577264127562,5,0,0
0.426,1577264128012,5,0,0
0.374,1577264128463,5,0,0
0.20400000000000001,1577264128912,5,0,0
0.084,1577264129362,5,0,0
0.022,1577264129812,5,0,0
0.004,1577264130263,5,0,0
-0.012,1577264130712,5,0,0
-0.016,1577264131162,5,0,0
-0.01,1577264131612,5,0,0
-0.004,1577264132052,5,0,0
-0.01,1577264132502,-1,0,0
-0.046,1577264132952,-1,0,0
-0.012,1577264133402,-1,0,0
-0.004,1577264133852,-1,0,0
-0.028,1577264134303,-1,0,0
-0.114,1577264134752,-1,0,0
-0.228,1577264135203,-1,0,0
-0.32,1577264135652,-1,0,0
-0.332,1577264136103,-1,0,0
-0.338,1577264136553,-1,0,0
-0.358,1577264137003,-1,0,0
-0.328,1577264137453,-1,0,0
-0.764,1577264137903,-1,0,0
-0.3,1577264138353,-1,0,0
0.128,1577264138802,-1,0,0
0.744,1577264139253,-1,0,0
1.9180000000000001,1577264139702,2,0,0
3.028,1577264140153,2,0,0
2.694,1577264140622,2,0,0
1.594,1577264141073,2,0,0
1.19,1577264141522,2,0,0
1.476,1577264141963,2,0,0
2.08,1577264142402,2,0,0
3.384,1577264142872,2,0,0
3.88,1577264143342,2,0,0
1.606,1577264143793,2,0,0
-0.304,1577264144222,2,0,0
-0.74,1577264144672,2,0,0
-0.5640000000000001,1577264145122,2,0,0
-0.28600000000000003,1577264145583,2,0,0
0.422,1577264146052,2,0,0
1.06,1577264146483,2,0,0
1.308,1577264146883,2,0,0
1.4000000000000001,1577264147333,2,0,0
1.314,1577264147803,2,0,0
1.33,1577264148282,2,0,0
1.272,1577264148734,2,0,0
1.012,1577264149152,2,0,0
0.8280000000000001,1577264149613,2,0,0
0.778,1577264150064,2,0,0
0.786,1577264150523,2,0,0
0.798,1577264150992,2,0,0
0.504,1577264151442,2,0,0
0.16,1577264151892,2,0,0
-0.122,1577264152342,2,0,0
