accLateral_data,Timestamp,Action,Bump,Traffic congestion
0.0,1577264087032,0,0,0
-0.001,1577264087482,0,0,0
0.0,1577264087932,0,0,0
-0.001,1577264088382,0,0,0
-0.001,1577264088832,10,0,0
-0.001,1577264089242,10,0,0
-0.001,1577264089702,10,0,0
-0.001,1577264090152,10,0,0
-0.002,1577264090603,10,0,0
-0.002,1577264091052,10,0,0
-0.001,1577264091502,10,0,0
-0.002,1577264091952,10,0,0
-0.001,1577264092402,10,0,0
-0.002,1577264092852,10,0,0
-0.001,1577264093302,10,0,0
-0.001,1577264093752,10,0,0
-0.002,1577264094202,10,0,0
-0.001,1577264094652,10,0,0
-0.002,1577264095102,10,0,0
-0.001,1577264095552,10,0,0
-0.002,1577264096002,10,0,0
-0.001,1577264096452,10,0,0
-0.001,1577264096902,10,0,0
-0.002,1577264097352,10,0,0
-0.001,1577264097802,10,0,0
-0.002,1577264098252,10,0,0
-0.001,1577264098702,10,0,0
0.0,1577264099152,10,0,0
0.0,1577264099602,10,0,0
0.0,1577264100052,10,0,0
0.0,1577264100502,10,0,0
-0.001,1577264100952,10,0,0
-0.001,1577264101402,0,0,0
0.0,1577264101852,0,0,0
-0.001,1577264102302,0,0,0
0.0,1577264102752,0,0,0
-0.001,1577264103202,0,0,0
-0.001,1577264103652,0,0,0
-0.001,1577264104102,-1,0,0
-0.002,1577264104552,-1,0,0
-0.002,1577264105002,-1,0,0
-0.001,1577264105472,-1,0,0
-0.001,1577264105922,-1,0,0
-0.002,1577264106372,-1,0,0
-0.001,1577264106822,-1,0,0
-0.001,1577264107272,-1,0,0
-0.002,1577264107722,-1,0,0
-0.003,1577264108172,-1,0,0
-0.003,1577264108622,-1,0,0
-0.002,1577264109072,-1,0,0
-0.003,1577264109522,-1,0,0
0.005,1577264109972,-1,0,0
0.003,1577264110422,-1,0,0
0.002,1577264110872,-1,0,0
0.005,1577264111322,-1,0,0
-0.001,1577264111772,-1,0,0
0.008,1577264112222,-1,0,0
0.001,1577264112672,-1,0,0
0.002,1577264113122,-1,0,0
0.0,1577264113572,-1,0,0
0.002,1577264114022,-1,0,0
-0.001,1577264114472,-1,0,0
-0.003,1577264114922,-1,0,0
-0.002,1577264115373,-1,0,0
-0.011,1577264115823,-1,0,0
-0.004,1577264116272,-1,0,0
-0.002,1577264116722,-1,0,0
-0.002,1577264117172,-1,0,0
-0.002,1577264117622,-1,0,0
0.001,1577264118072,-1,0,0
-0.002,1577264118522,-1,0,0
0.001,1577264118972,-1,0,0
-0.005,1577264119422,-1,0,0
0.0,1577264119872,-1,0,0
-0.003,1577264120322,-1,0,0
-0.004,1577264120772,-1,0,0
-0.002,1577264121222,5,0,0
-0.004,1577264121672,5,0,0
-0.002,1577264122122,5,0,0
-0.002,1577264122572,5,0,0
-0.003,1577264123022,5,0,0
-0.003,1577264123472,5,0,0
-0.001,1577264123922,5,0,0
-0.001,1577264124372,5,0,0
0.0,1577264124822,5,0,0
-0.003,1577264125272,5,0,0
0.0,1577264125722,5,0,0
0.001,1577264126172,5,0,0
0.003,1577264126622,5,0,0
0.003,1577264127072,5,0,0
0.002,1577264127522,5,0,0
0.006,1577264127973,5,0,0
0.003,1577264128422,5,0,0
0.006,1577264128872,5,0,0
0.004,1577264129323,5,0,0
0.003,1577264129772,5,0,0
0.003,1577264130222,5,0,0
0.0,1577264130672,5,0,0
0.0,1577264131122,5,0,0
0.0,1577264131572,5,0,0
-0.002,1577264132012,5,0,0
-0.002,1577264132462,-1,0,0
0.001,1577264132912,-1,0,0
-0.002,1577264133362,-1,0,0
-0.003,1577264133812,-1,0,0
0.0,1577264134262,-1,0,0
-0.001,1577264134712,-1,0,0
0.0,1577264135163,-1,0,0
-0.001,1577264135612,-1,0,0
-0.002,1577264136063,-1,0,0
0.0,1577264136513,-1,0,0
0.0,1577264136963,-1,0,0
0.001,1577264137413,-1,0,0
0.001,1577264137863,-1,0,0
0.004,1577264138313,-1,0,0
0.002,1577264138763,-1,0,0
0.003,1577264139213,-1,0,0
0.007,1577264139663,2,0,0
0.007,1577264140113,2,0,0
0.008,1577264140582,2,0,0
0.014,1577264141033,2,0,0
0.009000000000000001,1577264141482,2,0,0
0.009000000000000001,1577264141922,2,0,0
0.013000000000000001,1577264142362,2,0,0
0.021,1577264142832,2,0,0
0.016,1577264143302,2,0,0
0.009000000000000001,1577264143752,2,0,0
0.008,1577264144182,2,0,0
0.004,1577264144632,2,0,0
0.001,1577264145082,2,0,0
-0.001,1577264145543,2,0,0
0.005,1577264146012,2,0,0
0.006,1577264146458,2,0,0
0.002,1577264146842,2,0,0
0.0,1577264147292,2,0,0
0.003,1577264147763,2,0,0
-0.003,1577264148243,2,0,0
0.0,1577264148692,2,0,0
0.001,1577264149112,2,0,0
0.0,1577264149572,2,0,0
0.0,1577264150023,2,0,0
0.0,1577264150472,2,0,0
-0.002,1577264150952,2,0,0
0.001,1577264151403,2,0,0
0.0,1577264151853,2,0,0
0.0,1577264152303,2,0,0
0.0,1577264152753,2,0,0
-0.001,1577264153203,2,0,0
-0.002,1577264153653,2,0,0
0.0,1577264154103,2,0,0
0.0,1577264154553,2,0,0
-0.007,1577264155002,2,0,0
-0.003,1577264155453,2,0,0
-0.001,1577264155903,1,0,0
0.0,1577264156352,1,0,0
0.002,1577264156802,1,0,0
0.0,1577264157253,1,0,0
-0.002,1577264157703,1,0,0
-0.001,1577264158152,1,0,0
-0.001,1577264158603,1,0,0
0.0,1577264159053,1,0,0
-0.001,1577264159503,1,0,0
0.0,1577264159952,1,0,0
0.001,1577264160403,1,0,0
0.002,1577264160852,1,0,0
0.002,1577264161302,1,0,0
0.001,1577264161753,1,0,0
0.001,1577264162202,1,0,0
0.0,1577264162652,1,0,0
-0.002,1577264163102,1,0,0
-0.003,1577264163552,-1,0,0
-0.011,1577264164002,-1,0,0
-0.011,1577264164452,-1,0,0
-0.005,1577264164902,-1,0,0
0.0,1577264165352,-1,0,0
0.004,1577264165802,-1,0,0
0.002,1577264166252,-1,0,0
0.001,1577264166702,-1,0,0
0.002,1577264167163,-1,0,0
0.002,1577264167542,-1,0,0
0.002,1577264167992,-1,0,0
0.001,1577264168442,-1,0,0
0.0,1577264168894,-1,0,0
-0.003,1577264169342,5,0,0
-0.002,1577264169793,5,0,0
-0.002,1577264170243,5,0,0
-0.002,1577264170692,5,0,0
-0.004,1577264171142,5,0,0
-0.006,1577264171592,5,0,0
0.0,1577264172042,5,0,0
0.003,1577264172492,5,0,0
