rpm_data,Timestamp,Action,Bump,Traffic congestion
698.5,1576127715755,0,0,0
700.5,1576127716205,0,0,0
703.0,1576127716655,0,0,0
703.0,1576127717105,0,0,0
702.0,1576127717555,0,0,0
705.0,1576127718005,0,0,0
708.0,1576127718455,0,0,0
693.0,1576127718905,0,0,0
700.5,1576127719355,0,0,0
703.5,1576127719805,0,0,0
703.5,1576127720255,0,0,0
702.5,1576127720705,0,0,0
704.0,1576127721155,0,0,0
740.0,1576127721605,4,0,0
711.5,1576127722055,4,0,0
671.5,1576127722505,4,0,0
588.0,1576127722955,4,0,0
756.5,1576127723406,4,0,0
696.5,1576127723855,4,0,0
731.0,1576127724305,4,0,0
730.5,1576127724755,4,0,0
731.0,1576127725205,4,0,0
747.0,1576127725655,4,0,0
737.5,1576127726105,4,0,0
748.5,1576127726555,4,0,0
748.5,1576127727005,4,0,0
760.0,1576127727455,4,0,0
780.0,1576127727905,4,0,0
802.0,1576127728355,4,0,0
842.0,1576127728805,4,0,0
883.5,1576127729255,4,0,0
881.5,1576127729705,4,0,0
902.5,1576127730155,4,0,0
973.0,1576127730605,4,0,0
1070.5,1576127731055,4,0,0
1152.5,1576127731506,4,0,0
1237.0,1576127731955,4,0,0
1305.5,1576127732405,4,0,0
1282.5,1576127732855,1,0,0
1197.5,1576127733305,1,0,0
1186.0,1576127733755,1,0,0
1512.5,1576127734205,1,0,0
1751.0,1576127734655,1,0,0
1841.0,1576127735105,1,0,0
1790.5,1576127735555,1,0,0
1622.0,1576127736005,1,0,0
1347.5,1576127736455,1,0,0
1247.0,1576127736905,1,0,0
1171.5,1576127737355,1,0,0
1129.0,1576127737805,1,0,0
1159.0,1576127738255,1,0,0
1168.0,1576127738705,1,0,0
1038.5,1576127739155,1,0,0
978.5,1576127739605,1,0,0
937.5,1576127740055,1,0,0
900.0,1576127740505,1,0,0
871.0,1576127740955,1,0,0
860.0,1576127741405,1,0,0
851.5,1576127741855,1,0,0
841.5,1576127742305,1,0,0
862.5,1576127742755,2,0,0
887.0,1576127743205,2,0,0
839.0,1576127743655,2,0,0
821.5,1576127744105,2,0,0
816.5,1576127744555,2,0,0
808.0,1576127745005,2,0,0
871.5,1576127745455,2,0,0
1044.0,1576127745905,2,0,0
1355.5,1576127746355,2,0,0
1586.5,1576127746805,2,0,0
1613.5,1576127747255,2,0,0
1592.0,1576127747675,2,0,0
1587.0,1576127748125,2,0,0
1615.5,1576127748575,2,0,0
1653.0,1576127749025,2,0,0
1681.0,1576127749475,2,0,0
1716.5,1576127749925,1,0,0
2000.5,1576127750375,1,0,0
2111.5,1576127750825,1,0,0
1734.0,1576127751275,1,0,0
1455.5,1576127751725,1,0,0
1425.0,1576127752175,1,0,0
1401.5,1576127752625,1,0,0
1366.5,1576127753075,1,0,0
1324.0,1576127753526,1,0,0
1306.0,1576127753975,1,0,0
1317.0,1576127754425,1,0,0
1334.5,1576127754875,1,0,0
1359.5,1576127755325,1,0,0
1378.5,1576127755775,1,0,0
1386.5,1576127756225,1,0,0
1383.0,1576127756675,1,0,0
1301.5,1576127757125,1,0,0
1205.5,1576127757575,1,0,0
1151.0,1576127758025,1,0,0
1117.0,1576127758475,1,0,0
1091.0,1576127758925,1,0,0
1062.5,1576127759375,1,0,0
1032.5,1576127759825,1,0,0
1012.0,1576127760275,1,0,0
997.0,1576127760725,1,0,0
956.0,1576127761175,1,0,0
940.0,1576127761625,1,0,0
922.0,1576127762075,1,0,0
922.5,1576127762525,1,0,0
883.5,1576127762975,1,0,0
882.5,1576127763425,1,0,0
888.5,1576127763875,1,0,0
891.0,1576127764325,1,0,0
860.0,1576127764775,1,0,0
874.5,1576127765225,1,0,0
861.5,1576127765675,1,0,0
886.5,1576127766125,1,0,0
903.0,1576127766575,1,0,0
897.5,1576127767025,1,0,0
923.0,1576127767475,1,0,0
947.5,1576127767925,1,0,0
992.0,1576127768375,1,0,0
1009.0,1576127768825,1,0,0
1067.5,1576127769275,1,0,0
1115.5,1576127769726,1,0,0
1098.0,1576127770176,1,0,0
1099.0,1576127770625,1,0,0
1087.5,1576127771075,1,0,0
1075.0,1576127771525,1,0,0
1082.0,1576127771976,1,0,0
1093.0,1576127772425,1,0,0
1104.5,1576127772875,1,0,0
1079.5,1576127773325,1,0,0
1063.5,1576127773775,1,0,0
1054.0,1576127774225,1,0,0
1054.5,1576127774675,1,0,0
1063.0,1576127775125,1,0,0
1052.5,1576127775575,1,0,0
1037.5,1576127776025,1,0,0
1012.0,1576127776476,1,0,0
979.5,1576127776935,1,0,0
892.0,1576127777385,1,0,0
860.0,1576127777840,1,0,0
846.5,1576127778296,1,0,0
863.0,1576127778747,1,0,0
839.5,1576127779196,1,0,0
803.5,1576127779646,1,0,0
814.5,1576127780096,1,0,0
836.5,1576127780556,1,0,0
838.5,1576127781016,1,0,0
852.5,1576127781466,1,0,0
831.0,1576127781916,1,0,0
824.0,1576127782366,1,0,0
825.0,1576127782816,1,0,0
814.5,1576127783266,1,0,0
798.0,1576127783716,1,0,0
792.5,1576127784176,1,0,0
784.5,1576127784636,1,0,0
754.5,1576127785086,1,0,0
768.5,1576127785546,1,0,0
792.0,1576127785996,1,0,0
791.5,1576127786446,1,0,0
799.5,1576127786896,1,0,0
805.0,1576127787356,1,0,0
788.5,1576127787806,1,0,0
784.5,1576127788256,1,0,0
781.5,1576127788706,1,0,0
783.0,1576127789156,1,0,0
773.0,1576127789607,1,0,0
779.5,1576127790056,1,0,0
781.0,1576127790516,1,0,0
779.0,1576127790966,1,0,0
779.5,1576127791416,1,0,0
782.5,1576127791866,1,0,0
775.5,1576127792316,1,0,0
787.5,1576127792766,1,0,0
772.0,1576127793216,1,0,0
718.0,1576127793676,1,0,0
699.0,1576127794126,1,0,0
789.5,1576127794576,1,0,0
800.5,1576127795026,1,0,0
790.5,1576127795476,1,0,0
807.0,1576127795926,1,0,0
798.5,1576127796376,0,0,0
801.0,1576127796826,0,0,0
795.0,1576127797276,0,0,0
786.0,1576127797726,0,0,0
777.0,1576127798176,0,0,0
767.0,1576127798636,0,0,0
758.5,1576127799086,0,0,0
754.0,1576127799546,0,0,0
738.5,1576127799996,0,0,0
735.5,1576127800446,0,0,0
727.0,1576127800896,0,0,0
732.5,1576127801346,0,0,0
713.0,1576127801796,0,0,0
712.0,1576127802246,0,0,0
712.0,1576127802696,0,0,0
704.0,1576127803146,0,0,0
711.0,1576127803596,0,0,0
707.5,1576127804046,0,0,0
704.5,1576127804496,0,0,0
707.5,1576127804946,0,0,0
706.5,1576127805396,0,0,0
703.5,1576127805846,0,0,0
703.0,1576127806296,0,0,0
698.5,1576127806746,0,0,0
707.0,1576127807196,0,0,0
706.0,1576127807646,0,0,0
695.5,1576127808096,0,0,0
705.5,1576127808546,0,0,0
701.5,1576127808996,0,0,0
698.0,1576127809446,0,0,0
698.5,1576127809896,0,0,0
702.5,1576127810346,0,0,0
692.5,1576127810796,0,0,0
699.0,1576127811246,0,0,0
700.0,1576127811696,0,0,0
701.0,1576127812146,0,0,0
707.0,1576127812596,0,0,0
703.0,1576127813046,0,0,0
703.0,1576127813496,0,0,0
703.0,1576127813946,0,0,0
698.0,1576127814396,0,0,0
697.5,1576127814846,0,0,0
698.5,1576127815296,0,0,0
700.5,1576127815746,0,0,0
708.0,1576127816196,0,0,0
698.0,1576127816646,0,0,0
701.0,1576127817096,0,0,0
697.0,1576127817546,0,0,0
698.5,1576127817997,0,0,0
696.0,1576127818446,0,0,0
703.0,1576127818897,0,0,0
702.0,1576127819346,0,0,0
708.0,1576127819796,0,0,0
703.5,1576127820246,0,0,0
695.0,1576127820696,0,0,0
701.0,1576127821146,0,0,0
705.0,1576127821596,0,0,0
693.0,1576127822046,0,0,0
701.0,1576127822496,0,0,0
701.5,1576127822946,0,0,0
705.5,1576127823396,0,0,0
696.5,1576127823846,0,0,0
696.5,1576127824296,0,0,0
702.0,1576127824747,2,0,0
703.5,1576127825196,2,0,0
696.0,1576127825646,2,0,0
678.5,1576127826106,2,0,0
712.5,1576127826556,2,0,0
728.5,1576127827006,2,0,0
733.5,1576127827456,2,0,0
761.0,1576127827906,2,0,0
780.0,1576127828356,2,0,0
785.5,1576127828806,2,0,0
789.0,1576127829256,2,0,0
787.0,1576127829706,2,0,0
785.5,1576127830156,2,0,0
797.5,1576127830606,2,0,0
797.0,1576127831056,2,0,0
793.0,1576127831506,2,0,0
799.5,1576127831956,2,0,0
797.5,1576127832406,2,0,0
801.5,1576127832856,2,0,0
795.5,1576127833306,2,0,0
797.0,1576127833766,2,0,0
809.0,1576127834216,-1,0,0
