DT_verticalAccOri,Timestamp,Action,Bump,Traffic congestion
0.0,1569384010886.0,0,0,0
0.0,1569384011346.0,0,0,0
0.0,1569384011811.0,0,0,0
0.0,1569384012266.0,0,0,0
0.0,1569384012726.0,0,0,0
0.0,1569384013195.0,0,0,0
0.0,1569384013655.0,0,0,0
0.0,1569384014116.0,3,0,0
0.5,1569384014576.0,3,0,0
0.187,1569384015036.0,3,0,0
0.125,1569384015495.0,3,0,0
0.375,1569384015955.0,3,0,0
0.25,1569384016416.0,3,0,0
0.25,1569384016880.0,3,0,0
0.031,1569384017336.0,3,0,0
0.218,1569384017795.0,3,0,0
0.218,1569384018256.0,3,0,0
0.312,1569384018716.0,3,0,0
-0.063,1569384019176.0,3,0,0
-0.188,1569384019635.0,3,0,0
0.125,1569384020095.0,3,0,0
0.375,1569384020556.0,3,0,0
0.593,1569384021016.0,3,0,0
0.718,1569384021475.0,1,0,0
0.656,1569384021972.0,1,0,0
0.531,1569384022396.0,2,0,0
0.25,1569384022855.0,2,0,0
0.0,1569384023315.0,2,0,0
-0.063,1569384023775.0,2,0,0
-0.032,1569384024246.0,2,0,0
0.0,1569384024705.0,2,0,0
-0.063,1569384025176.0,2,0,0
-0.157,1569384025636.0,2,0,0
-0.157,1569384026095.0,2,0,0
-0.219,1569384026565.0,2,0,0
-0.188,1569384027025.0,2,0,0
-0.063,1569384027485.0,2,0,0
0.0,1569384027955.0,2,0,0
0.0,1569384028416.0,2,0,0
0.843,1569384028876.0,1,0,0
0.968,1569384029360.0,1,0,0
0.156,1569384029797.0,1,0,0
0.437,1569384030266.0,1,0,0
0.0,1569384030725.0,1,0,0
-0.032,1569384031186.0,1,0,0
-0.032,1569384031646.0,1,0,0
-0.032,1569384032115.0,1,0,0
-0.032,1569384032576.0,1,0,0
-0.063,1569384033036.0,1,0,0
-0.032,1569384033496.0,1,0,0
0.0,1569384033956.0,1,0,0
-0.094,1569384034416.0,1,0,0
-0.219,1569384034887.0,1,0,0
-0.313,1569384035347.0,2,0,0
-0.46900000000000003,1569384035808.0,2,0,0
-0.5630000000000001,1569384036267.0,2,0,0
-0.157,1569384036727.0,2,0,0
-0.313,1569384037187.0,2,0,0
-0.5,1569384037657.0,2,0,0
-0.6880000000000001,1569384038117.0,2,0,0
-0.594,1569384038577.0,2,0,0
0.156,1569384039046.0,2,0,0
0.406,1569384039507.0,2,0,0
0.562,1569384039967.0,2,0,0
0.593,1569384040425.0,2,0,0
0.656,1569384040886.0,1,0,0
0.5,1569384041346.0,1,0,0
0.437,1569384041831.0,1,0,0
0.312,1569384042280.0,1,0,0
0.25,1569384042737.0,1,0,0
0.281,1569384043197.0,1,0,0
0.25,1569384043657.0,1,0,0
0.218,1569384044116.0,1,0,0
0.218,1569384044577.0,1,0,0
0.0,1569384045047.0,1,0,0
-0.063,1569384045497.0,1,0,0
-0.125,1569384045967.0,1,0,0
-0.125,1569384046427.0,1,0,0
-0.157,1569384046887.0,1,0,0
-0.125,1569384047346.0,1,0,0
-0.188,1569384047807.0,1,0,0
-0.25,1569384048267.0,2,0,0
-0.438,1569384048727.0,2,0,0
-0.188,1569384049197.0,2,0,0
-0.375,1569384049657.0,2,0,0
-0.75,1569384050117.0,2,0,0
-1.032,1569384050587.0,2,0,0
-1.282,1569384051047.0,2,0,0
-0.9380000000000001,1569384051506.0,2,0,0
-0.46900000000000003,1569384051977.0,2,0,0
-0.125,1569384052437.0,2,0,0
1.5,1569384052896.0,2,0,0
1.625,1569384053366.0,1,0,0
0.406,1569384053826.0,1,0,0
0.0,1569384054277.0,1,0,0
-0.032,1569384054736.0,1,0,0
0.0,1569384055197.0,2,0,0
0.062,1569384055667.0,2,0,0
-0.032,1569384056127.0,2,0,0
-0.313,1569384056587.0,2,0,0
-0.532,1569384057047.0,2,0,0
-0.438,1569384057506.0,2,0,0
0.156,1569384057967.0,2,0,0
0.281,1569384058427.0,1,0,0
0.281,1569384058887.0,1,0,0
0.0,1569384059346.0,1,0,0
-0.032,1569384059807.0,1,0,0
-0.063,1569384060266.0,3,0,0
-0.094,1569384060727.0,3,0,0
-0.157,1569384061187.0,3,0,0
-0.094,1569384061647.0,3,0,0
-0.188,1569384062107.0,3,0,0
-0.219,1569384062567.0,3,0,0
-0.313,1569384063026.0,3,0,0
-0.5,1569384063486.0,3,0,0
-0.594,1569384063947.0,3,0,0
-0.5,1569384064396.0,3,0,0
-0.313,1569384064858.0,3,0,0
-0.063,1569384065316.0,3,0,0
1.062,1569384065777.0,3,0,0
1.0,1569384066236.0,3,0,0
0.343,1569384066687.0,3,0,0
0.218,1569384067161.0,3,0,0
0.125,1569384067627.0,1,0,0
0.0,1569384068086.0,1,0,0
-0.063,1569384068557.0,1,0,0
0.0,1569384069017.0,2,0,0
0.0,1569384069477.0,2,0,0
-0.032,1569384069937.0,2,0,0
-0.125,1569384070397.0,2,0,0
-0.313,1569384070857.0,2,0,0
-0.28200000000000003,1569384071326.0,2,0,0
-0.219,1569384071777.0,2,0,0
-0.219,1569384072237.0,2,0,0
-0.125,1569384072697.0,4,0,0
-0.063,1569384073165.0,4,0,0
0.0,1569384073617.0,4,0,0
0.0,1569384074077.0,4,0,0
-0.063,1569384074537.0,4,0,0
-0.157,1569384074997.0,4,0,0
-0.157,1569384075467.0,4,0,0
-0.125,1569384075927.0,4,0,0
-0.094,1569384076386.0,4,0,0
-0.063,1569384076847.0,4,0,0
0.656,1569384077307.0,4,0,0
0.25,1569384077767.0,4,0,0
0.531,1569384078227.0,4,0,0
0.093,1569384078697.0,1,0,0
0.0,1569384079162.0,1,0,0
0.0,1569384079617.0,1,0,0
-0.032,1569384080087.0,1,0,0
0.0,1569384080536.0,1,0,0
-0.157,1569384080996.0,1,0,0
-1.594,1569384081457.0,1,0,0
-1.75,1569384081916.0,1,0,0
-2.063,1569384082377.0,1,0,0
-1.782,1569384082837.0,1,0,0
0.093,1569384083297.0,1,0,0
0.375,1569384083757.0,1,0,0
0.468,1569384084216.0,1,0,0
0.343,1569384084667.0,1,0,0
-0.157,1569384085171.0,1,0,0
-0.188,1569384085597.0,1,0,0
-0.34400000000000003,1569384086057.0,1,0,0
-0.157,1569384086517.0,1,0,0
0.25,1569384086977.0,1,0,0
0.062,1569384087437.0,1,0,0
0.0,1569384087887.0,1,0,0
-0.032,1569384088363.0,1,0,0
0.218,1569384088807.0,1,0,0
0.343,1569384089280.0,1,0,0
0.312,1569384089737.0,1,0,0
0.375,1569384090207.0,1,0,0
0.312,1569384090667.0,1,0,0
0.406,1569384091117.0,1,0,0
0.5,1569384091587.0,1,0,0
0.468,1569384092047.0,1,0,0
0.531,1569384092508.0,1,0,0
0.5,1569384092977.0,1,0,0
0.406,1569384093437.0,1,0,0
0.343,1569384093897.0,1,0,0
0.031,1569384094360.0,1,0,0
0.0,1569384094827.0,1,0,0
0.0,1569384095299.0,1,0,0
0.718,1569384095747.0,1,0,0
0.468,1569384096207.0,1,0,0
0.0,1569384096667.0,1,0,0
0.0,1569384097127.0,1,0,0
0.0,1569384097587.0,1,0,0
0.0,1569384098047.0,1,0,0
0.0,1569384098507.0,1,0,0
0.281,1569384098977.0,1,0,0
0.656,1569384099437.0,1,0,0
0.218,1569384099887.0,1,0,0
0.062,1569384100357.0,1,0,0
0.156,1569384100819.0,1,0,0
0.218,1569384101285.0,2,0,0
0.218,1569384101727.0,2,0,0
0.062,1569384102197.0,2,0,0
0.0,1569384102647.0,2,0,0
0.0,1569384103107.0,2,0,0
0.0,1569384103577.0,2,0,0
-0.094,1569384104037.0,2,0,0
-0.375,1569384104497.0,2,0,0
-0.5630000000000001,1569384104957.0,2,0,0
-0.907,1569384105427.0,2,0,0
-1.032,1569384105887.0,2,0,0
-0.844,1569384106348.0,2,0,0
-0.28200000000000003,1569384106807.0,2,0,0
-0.063,1569384107267.0,2,0,0
0.0,1569384107718.0,2,0,0
0.0,1569384108187.0,2,0,0
0.0,1569384108647.0,2,0,0
-0.125,1569384109107.0,2,0,0
-0.094,1569384109557.0,2,0,0
-0.157,1569384110017.0,2,0,0
-0.157,1569384110487.0,2,0,0
-0.28200000000000003,1569384110947.0,2,0,0
-0.532,1569384111407.0,2,0,0
