acceleration_data,Timestamp,Action,Bump,Traffic congestion
0.0,1577071582311,0,0,0
0.0,1577071582762,0,0,0
0.0,1577071583252,0,0,0
0.0,1577071583702,0,0,0
0.0,1577071584192,0,0,0
0.0,1577071584641,0,0,0
0.0,1577071585131,0,0,0
0.0,1577071585581,0,0,0
0.0,1577071586071,0,0,0
0.0,1577071586521,0,0,0
0.0,1577071587021,0,0,0
0.0,1577071587471,0,0,0
0.0,1577071587961,0,0,0
0.0,1577071588411,0,0,0
0.0,1577071588901,0,0,0
0.0,1577071589351,0,0,0
0.0,1577071589842,0,0,0
0.0,1577071590291,0,0,0
0.0,1577071590781,0,0,0
0.0,1577071591231,0,0,0
0.0,1577071591722,0,0,0
0.0,1577071592171,0,0,0
0.0,1577071592671,0,0,0
0.0,1577071593122,0,0,0
0.0,1577071593611,0,0,0
0.0,1577071594062,4,1,0
0.109,1577071594551,4,1,0
0.725,1577071595002,4,1,0
0.753,1577071595491,4,1,0
0.6890000000000001,1577071595941,4,1,0
0.524,1577071596431,4,1,0
0.314,1577071596881,4,1,0
0.17400000000000002,1577071597371,4,1,0
0.107,1577071597811,4,1,0
0.065,1577071598301,4,1,0
0.079,1577071598741,4,1,0
0.067,1577071599231,4,1,0
0.096,1577071599681,4,1,0
0.14100000000000001,1577071600171,4,1,0
0.08600000000000001,1577071600611,4,1,0
0.107,1577071601101,4,1,0
0.091,1577071601551,4,1,0
0.092,1577071602041,4,1,0
0.081,1577071602491,4,1,0
0.138,1577071602991,4,1,0
0.126,1577071603441,4,1,0
0.182,1577071603931,3,1,0
0.20600000000000002,1577071604381,3,1,0
0.492,1577071604871,3,1,0
0.636,1577071605321,3,1,0
0.679,1577071605811,3,1,0
0.967,1577071606261,3,1,0
1.049,1577071606751,3,1,0
0.748,1577071607201,3,1,0
0.548,1577071607691,3,1,0
0.4,1577071608131,3,1,0
0.278,1577071608621,3,1,0
0.222,1577071609071,3,1,0
0.131,1577071609561,3,1,0
0.147,1577071610011,3,1,0
0.176,1577071610501,3,1,0
0.166,1577071610961,3,1,0
0.126,1577071611431,3,1,0
0.154,1577071611881,3,1,0
0.196,1577071612371,3,1,0
0.251,1577071612821,3,1,0
0.34900000000000003,1577071613311,3,1,0
0.323,1577071613761,3,1,0
0.17300000000000001,1577071614251,3,1,0
0.066,1577071614691,3,1,0
0.013000000000000001,1577071615181,-1,0,0
-0.166,1577071615631,-1,0,0
