accPre_data,Timestamp,Action,Bump,Traffic congestion
14.5225,1577071582372,0,0,0
14.5225,1577071582822,0,0,0
14.5225,1577071583311,0,0,0
14.5225,1577071583762,0,0,0
14.5225,1577071584251,0,0,0
14.5225,1577071584701,0,0,0
14.5225,1577071585191,0,0,0
14.5225,1577071585641,0,0,0
14.5225,1577071586131,0,0,0
14.5225,1577071586581,0,0,0
14.5225,1577071587081,0,0,0
14.5225,1577071587531,0,0,0
14.5225,1577071588021,0,0,0
14.5225,1577071588471,0,0,0
14.5225,1577071588961,0,0,0
14.5225,1577071589411,0,0,0
14.5225,1577071589901,0,0,0
14.5225,1577071590351,0,0,0
14.5225,1577071590841,0,0,0
14.5225,1577071591291,0,0,0
14.5225,1577071591782,0,0,0
14.5225,1577071592231,0,0,0
14.5225,1577071592731,0,0,0
14.5225,1577071593182,0,0,0
14.5225,1577071593671,0,0,0
14.5225,1577071594121,4,1,0
14.5225,1577071594611,4,1,0
14.5225,1577071595061,4,1,0
14.5225,1577071595551,4,1,0
14.5225,1577071596002,4,1,0
14.5225,1577071596491,4,1,0
14.5225,1577071596941,4,1,0
14.5225,1577071597431,4,1,0
14.5225,1577071597871,4,1,0
14.5225,1577071598361,4,1,0
14.5225,1577071598801,4,1,0
14.5225,1577071599291,4,1,0
14.5225,1577071599741,4,1,0
14.5225,1577071600231,4,1,0
14.5225,1577071600671,4,1,0
14.5225,1577071601161,4,1,0
14.5225,1577071601611,4,1,0
14.5225,1577071602101,4,1,0
14.5225,1577071602551,4,1,0
18.055,1577071603051,4,1,0
25.12,1577071603501,4,1,0
29.045,1577071603991,3,1,0
31.0075,1577071604441,3,1,0
31.400000000000002,1577071604931,3,1,0
31.400000000000002,1577071605381,3,1,0
31.400000000000002,1577071605871,3,1,0
30.615000000000002,1577071606321,3,1,0
27.0825,1577071606813,3,1,0
22.372500000000002,1577071607261,3,1,0
22.765,1577071607751,3,1,0
22.765,1577071608191,3,1,0
23.157500000000002,1577071608681,3,1,0
23.55,1577071609131,3,1,0
23.55,1577071609621,3,1,0
25.12,1577071610071,3,1,0
26.69,1577071610561,3,1,0
27.0825,1577071611011,3,1,0
27.8675,1577071611491,3,1,0
31.400000000000002,1577071611941,3,1,0
31.7925,1577071612431,3,1,0
31.0075,1577071612881,3,1,0
29.830000000000002,1577071613371,3,1,0
23.157500000000002,1577071613821,3,1,0
14.5225,1577071614311,3,1,0
14.5225,1577071614751,3,1,0
14.5225,1577071615241,-1,0,0
14.5225,1577071615691,-1,0,0
14.5225,1577071616181,-1,0,0
17.27,1577071616631,-1,0,0
22.372500000000002,1577071617121,-1,0,0
23.157500000000002,1577071617571,-1,0,0
26.69,1577071618061,-1,0,0
27.8675,1577071618511,-1,0,0
28.26,1577071619001,-1,0,0
28.6525,1577071619451,-1,0,0
28.6525,1577071619941,-1,0,0
29.045,1577071620391,-1,0,0
29.4375,1577071620881,-1,0,0
29.4375,1577071621331,1,0,0
29.830000000000002,1577071621821,1,0,0
29.830000000000002,1577071622271,1,0,0
29.830000000000002,1577071622761,1,0,0
28.6525,1577071623221,1,0,0
14.5225,1577071623711,1,0,0
14.5225,1577071624161,1,0,0
14.5225,1577071624651,1,0,0
14.5225,1577071625101,1,0,0
14.5225,1577071625591,1,0,0
14.5225,1577071626041,1,0,0
14.5225,1577071626541,1,0,0
14.5225,1577071626991,3,0,0
14.5225,1577071627481,3,0,0
14.5225,1577071627931,3,0,0
14.5225,1577071628421,3,0,0
14.5225,1577071628870,3,0,0
14.5225,1577071629370,3,0,0
14.5225,1577071629821,3,0,0
14.5225,1577071630310,3,0,0
14.5225,1577071630760,3,0,0
14.5225,1577071631250,3,0,0
14.5225,1577071631700,3,0,0
14.5225,1577071632200,3,0,0
14.5225,1577071632650,3,0,0
14.5225,1577071633140,3,0,0
14.5225,1577071633590,3,0,0
14.5225,1577071634090,3,0,0
14.5225,1577071634540,3,0,0
14.5225,1577071635030,3,0,0
14.5225,1577071635480,3,0,0
14.5225,1577071635970,3,0,0
14.5225,1577071636420,3,0,0
14.5225,1577071636910,3,0,0
14.5225,1577071637360,3,0,0
14.5225,1577071637850,3,0,0
14.5225,1577071638300,3,0,0
14.5225,1577071638790,3,0,0
14.5225,1577071639240,3,0,0
14.5225,1577071639730,3,0,0
14.5225,1577071640180,3,0,0
14.5225,1577071640670,3,0,0
14.5225,1577071641120,3,0,0
14.5225,1577071641620,3,0,0
14.5225,1577071642070,3,0,0
14.5225,1577071642560,3,0,0
14.5225,1577071643010,3,0,0
14.5225,1577071643500,3,0,0
14.5225,1577071643960,3,0,0
14.5225,1577071644450,3,0,0
14.5225,1577071644900,3,0,0
14.5225,1577071645390,3,0,0
14.5225,1577071645840,1,1,0
14.5225,1577071646330,1,1,0
14.5225,1577071646780,1,1,0
14.5225,1577071647270,1,1,0
14.5225,1577071647720,1,1,0
14.5225,1577071648210,1,1,0
14.5225,1577071648660,1,1,0
14.5225,1577071649150,2,0,0
14.5225,1577071649600,2,0,0
