accLateral_data,Timestamp,Action,Bump,Traffic congestion
0.004,1576134974612,4,0,0
0.0,1576134975062,4,0,0
0.003,1576134975512,4,0,0
-0.001,1576134975962,4,0,0
-0.002,1576134976412,4,0,0
-0.001,1576134976862,4,0,0
-0.004,1576134977312,4,0,0
-0.005,1576134977762,4,0,0
-0.006,1576134978212,4,0,0
-0.002,1576134978662,4,0,0
0.001,1576134979112,4,0,0
0.0,1576134979572,4,0,0
0.001,1576134980022,1,0,0
0.001,1576134980472,1,0,0
0.002,1576134980922,1,0,0
0.0,1576134981372,1,0,0
0.0,1576134981822,1,0,0
0.0,1576134982272,1,0,0
0.0,1576134982722,1,0,0
0.0,1576134983172,1,0,0
0.001,1576134983622,1,0,0
0.001,1576134984072,1,0,0
0.001,1576134984522,1,0,0
0.001,1576134984972,1,0,0
0.001,1576134985422,1,0,0
0.0,1576134985872,1,0,0
0.001,1576134986322,1,0,0
0.003,1576134986772,1,0,0
0.003,1576134987222,1,0,0
0.003,1576134987672,1,0,0
0.003,1576134988122,1,0,0
0.0,1576134988572,1,0,0
-0.003,1576134989022,1,0,0
-0.004,1576134989472,1,0,0
0.0,1576134989922,1,0,0
0.0,1576134990372,1,0,0
0.003,1576134990822,1,0,0
0.002,1576134991272,1,0,0
0.002,1576134991722,1,0,0
0.0,1576134992172,1,0,0
0.0,1576134992622,1,0,0
0.003,1576134993072,1,0,0
0.0,1576134993522,1,0,0
0.0,1576134993972,1,0,0
0.0,1576134994422,1,0,0
-0.001,1576134994872,1,0,0
0.003,1576134995322,1,0,0
0.002,1576134995772,1,0,0
0.0,1576134996222,1,0,0
0.0,1576134996672,1,0,0
0.0,1576134997122,1,0,0
0.0,1576134997572,1,0,0
0.001,1576134998022,1,0,0
0.002,1576134998472,1,0,0
0.001,1576134998922,1,0,0
0.0,1576134999372,1,0,0
-0.001,1576134999822,1,0,0
0.0,1576135000272,1,0,0
0.001,1576135000722,1,0,0
0.0,1576135001172,1,0,0
0.001,1576135001622,1,0,0
0.001,1576135002072,1,0,0
0.004,1576135002532,1,0,0
0.0,1576135002982,1,0,0
0.001,1576135003432,1,0,0
0.0,1576135003882,1,0,0
0.0,1576135004332,1,0,0
0.001,1576135004783,1,0,0
0.0,1576135005233,1,0,0
0.0,1576135005682,1,0,0
0.003,1576135006133,1,0,0
0.002,1576135006583,1,0,0
0.0,1576135007033,1,0,0
0.001,1576135007482,1,0,0
0.001,1576135007932,1,0,0
0.001,1576135008382,1,0,0
0.0,1576135008832,1,0,0
0.0,1576135009292,1,0,0
0.001,1576135009742,1,0,0
0.001,1576135010192,1,0,0
0.001,1576135010642,1,0,0
0.001,1576135011092,1,0,0
0.002,1576135011542,1,0,0
0.0,1576135011992,1,0,0
0.0,1576135012442,1,0,0
0.0,1576135012893,1,0,0
0.0,1576135013342,1,0,0
0.002,1576135013793,1,0,0
0.0,1576135014242,1,0,0
0.003,1576135014692,1,0,0
0.0,1576135015142,1,0,0
0.0,1576135015592,1,0,0
0.0,1576135016042,1,0,0
0.0,1576135016492,8,0,0
0.0,1576135016942,8,0,0
0.0,1576135017392,8,0,0
0.0,1576135017842,8,0,0
0.002,1576135018292,8,0,0
-0.001,1576135018742,8,0,0
0.001,1576135019192,8,0,0
0.001,1576135019642,8,0,0
0.005,1576135020092,8,0,0
0.0,1576135020542,8,0,0
0.0,1576135020992,8,0,0
0.001,1576135021442,8,0,0
0.001,1576135021892,8,0,0
0.004,1576135022342,8,0,0
0.004,1576135022792,8,0,0
0.001,1576135023243,8,0,0
0.001,1576135023692,8,0,0
0.0,1576135024142,8,0,0
0.003,1576135024592,8,0,0
0.002,1576135025042,8,0,0
0.003,1576135025492,8,0,0
-0.001,1576135025942,8,0,0
0.006,1576135026392,8,0,0
0.0,1576135026842,8,0,0
0.002,1576135027292,8,0,0
0.004,1576135027742,8,0,0
0.001,1576135028192,8,0,0
0.0,1576135028642,8,0,0
0.004,1576135029092,8,0,0
0.001,1576135029542,8,0,0
0.004,1576135029992,8,0,0
0.0,1576135030442,8,0,0
0.002,1576135030892,8,0,0
0.007,1576135031342,8,0,0
0.004,1576135031792,8,0,0
0.004,1576135032242,8,0,0
0.002,1576135032692,8,0,0
0.0,1576135033142,8,0,0
0.001,1576135033592,8,0,0
0.002,1576135034042,8,0,0
0.001,1576135034492,8,0,0
0.001,1576135034942,8,0,0
0.003,1576135035392,8,0,0
0.002,1576135035843,8,0,0
0.004,1576135036292,8,0,0
0.007,1576135036742,8,0,0
0.004,1576135037192,8,0,0
0.002,1576135037642,8,0,0
0.0,1576135038092,8,0,0
