speed_data,Timestamp,Action,Bump,Traffic congestion
7,1576134974462,4,0,0
8,1576134974912,4,0,0
9,1576134975362,4,0,0
10,1576134975812,4,0,0
12,1576134976262,4,0,0
14,1576134976712,4,0,0
16,1576134977162,4,0,0
17,1576134977612,4,0,0
19,1576134978062,4,0,0
20,1576134978512,4,0,0
21,1576134978962,4,0,0
23,1576134979422,4,0,0
24,1576134979872,4,0,0
24,1576134980322,1,0,0
24,1576134980772,1,0,0
24,1576134981222,1,0,0
24,1576134981672,1,0,0
24,1576134982122,1,0,0
24,1576134982572,1,0,0
24,1576134983022,1,0,0
24,1576134983472,1,0,0
24,1576134983922,1,0,0
24,1576134984372,1,0,0
24,1576134984822,1,0,0
23,1576134985272,1,0,0
23,1576134985722,1,0,0
23,1576134986172,1,0,0
23,1576134986622,1,0,0
24,1576134987072,1,0,0
25,1576134987522,1,0,0
25,1576134987972,1,0,0
25,1576134988422,1,0,0
24,1576134988872,1,0,0
24,1576134989322,1,0,0
24,1576134989772,1,0,0
24,1576134990222,1,0,0
24,1576134990672,1,0,0
24,1576134991122,1,0,0
24,1576134991572,1,0,0
25,1576134992022,1,0,0
25,1576134992472,1,0,0
25,1576134992923,1,0,0
25,1576134993372,1,0,0
25,1576134993822,1,0,0
26,1576134994272,1,0,0
26,1576134994722,1,0,0
26,1576134995172,1,0,0
26,1576134995622,1,0,0
26,1576134996072,1,0,0
26,1576134996522,1,0,0
26,1576134996972,1,0,0
26,1576134997422,1,0,0
26,1576134997872,1,0,0
26,1576134998322,1,0,0
27,1576134998772,1,0,0
28,1576134999222,1,0,0
28,1576134999672,1,0,0
28,1576135000122,1,0,0
28,1576135000572,1,0,0
28,1576135001022,1,0,0
27,1576135001472,1,0,0
27,1576135001922,1,0,0
26,1576135002383,1,0,0
26,1576135002832,1,0,0
25,1576135003282,1,0,0
24,1576135003732,1,0,0
24,1576135004182,1,0,0
23,1576135004633,1,0,0
22,1576135005083,1,0,0
21,1576135005533,1,0,0
20,1576135005982,1,0,0
18,1576135006433,1,0,0
17,1576135006882,1,0,0
