DT_engineRPM,Timestamp,Action,Bump,Traffic congestion
753.5,1569397134624.0,0,0,0
748.5,1569397135084.0,0,0,0
742.5,1569397135544.0,0,0,0
748.5,1569397136004.0,0,0,0
749.5,1569397136464.0,0,0,0
751.0,1569397136934.0,0,0,0
748.0,1569397137394.0,0,0,0
753.0,1569397137856.0,0,0,0
755.0,1569397138324.0,0,0,0
750.5,1569397138774.0,0,0,0
750.0,1569397139233.0,0,0,0
751.5,1569397139695.0,0,0,0
746.0,1569397140154.0,0,0,0
746.5,1569397140614.0,0,0,0
751.5,1569397141083.0,0,0,0
748.0,1569397141554.0,0,0,0
749.0,1569397142013.0,0,0,0
748.5,1569397142464.0,0,0,0
749.5,1569397142934.0,0,0,0
752.0,1569397143394.0,0,0,0
750.5,1569397143854.0,0,0,0
750.0,1569397144315.0,0,0,0
748.5,1569397144774.0,0,0,0
758.0,1569397145240.0,0,0,0
783.0,1569397145694.0,0,0,0
722.0,1569397146154.0,10,0,0
750.0,1569397146614.0,10,0,0
736.0,1569397147074.0,10,0,0
732.5,1569397147534.0,10,0,0
736.5,1569397147994.0,10,0,0
731.0,1569397148464.0,10,0,0
721.5,1569397148924.0,10,0,0
708.5,1569397149384.0,10,0,0
692.0,1569397149844.0,10,0,0
807.0,1569397150303.0,10,0,0
804.0,1569397150755.0,10,0,0
805.0,1569397151213.0,10,0,0
788.5,1569397151674.0,10,0,0
789.5,1569397152134.0,10,0,0
795.0,1569397152604.0,10,0,0
788.5,1569397153064.0,10,0,0
771.0,1569397153524.0,10,0,0
751.0,1569397153994.0,10,0,0
787.0,1569397154454.0,10,0,0
766.0,1569397154906.0,10,0,0
763.5,1569397155364.0,10,0,0
763.0,1569397155854.0,10,0,0
780.0,1569397156284.0,10,0,0
779.0,1569397156744.0,10,0,0
780.0,1569397157204.0,10,0,0
782.5,1569397157664.0,10,0,0
800.5,1569397158134.0,10,0,0
780.0,1569397158594.0,10,0,0
769.5,1569397159054.0,10,0,0
777.0,1569397159514.0,10,0,0
790.5,1569397159974.0,10,0,0
806.5,1569397160434.0,10,0,0
828.0,1569397160894.0,2,0,0
823.5,1569397161354.0,2,0,0
762.0,1569397161824.0,2,0,0
741.0,1569397162285.0,2,0,0
760.5,1569397162744.0,2,0,0
738.0,1569397163230.0,2,0,0
785.0,1569397163664.0,2,0,0
869.5,1569397164134.0,2,0,0
895.0,1569397164604.0,2,0,0
945.0,1569397165064.0,2,0,0
1016.5,1569397165524.0,2,0,0
1058.5,1569397165984.0,2,0,0
1088.0,1569397166444.0,2,0,0
1120.5,1569397166914.0,2,0,0
1140.0,1569397167364.0,2,0,0
1172.0,1569397167834.0,2,0,0
1224.5,1569397168284.0,1,0,0
1264.5,1569397168744.0,1,0,0
1295.0,1569397169204.0,1,0,0
1324.5,1569397169665.0,1,0,0
1365.0,1569397170124.0,1,0,0
1382.0,1569397170595.0,1,0,0
1402.5,1569397171034.0,1,0,0
1452.0,1569397171494.0,1,0,0
1480.0,1569397171954.0,1,0,0
1500.0,1569397172414.0,1,0,0
1543.0,1569397172883.0,1,0,0
1568.5,1569397173334.0,2,0,0
1590.5,1569397173794.0,2,0,0
1615.0,1569397174256.0,2,0,0
1653.5,1569397174714.0,2,0,0
1678.5,1569397175174.0,2,0,0
1709.5,1569397175635.0,2,0,0
1743.0,1569397176084.0,2,0,0
1759.5,1569397176554.0,2,0,0
1777.5,1569397177014.0,1,0,0
1801.0,1569397177474.0,1,0,0
1810.5,1569397177950.0,1,0,0
1829.5,1569397178394.0,1,0,0
1856.5,1569397178854.0,1,0,0
1849.0,1569397179314.0,1,0,0
1732.5,1569397179775.0,4,0,0
1388.5,1569397180234.0,4,0,0
1131.0,1569397180694.0,4,0,0
1105.5,1569397181154.0,4,0,0
1158.5,1569397181614.0,4,0,0
1190.0,1569397182075.0,4,0,0
1199.0,1569397182534.0,4,0,0
1221.0,1569397183004.0,4,0,0
1235.5,1569397183454.0,4,0,0
1252.0,1569397183914.0,4,0,0
1225.5,1569397184374.0,4,0,0
1159.0,1569397184834.0,4,0,0
1033.0,1569397185294.0,1,0,0
972.5,1569397185771.0,1,0,0
903.0,1569397186214.0,1,0,0
858.5,1569397186674.0,1,0,0
891.5,1569397187134.0,1,0,0
889.0,1569397187593.0,2,1,0
880.5,1569397188064.0,2,1,0
866.0,1569397188524.0,2,1,0
867.0,1569397188984.0,2,1,0
858.0,1569397189470.0,2,1,0
855.5,1569397189905.0,2,1,0
840.5,1569397190354.0,2,1,0
848.5,1569397190814.0,2,1,0
846.0,1569397191274.0,2,1,0
840.0,1569397191724.0,2,1,0
838.5,1569397192184.0,2,1,0
830.0,1569397192644.0,2,1,0
829.0,1569397193105.0,2,1,0
826.0,1569397193564.0,2,1,0
826.0,1569397194024.0,2,1,0
822.5,1569397194484.0,2,1,0
814.5,1569397194944.0,2,1,0
749.0,1569397195414.0,0,0,0
684.5,1569397195864.0,0,0,0
803.5,1569397196324.0,0,0,0
791.5,1569397196813.0,2,1,0
800.0,1569397197234.0,2,1,0
