DT_lateralAcc,Timestamp,Action,Bump,Traffic congestion
-0.01,1569320086330.0,0,0,0
-0.01,1569320086790.0,0,0,0
-0.01,1569320087250.0,0,0,0
0.0,1569320087710.0,10,0,0
0.0,1569320088170.0,10,0,0
-0.01,1569320088629.0,10,0,0
-0.02,1569320089090.0,10,0,0
-0.01,1569320089550.0,10,0,0
-0.01,1569320090000.0,10,0,0
-0.01,1569320090460.0,10,0,0
0.0,1569320090920.0,10,0,0
-0.01,1569320091380.0,10,0,0
0.02,1569320091840.0,10,0,0
-0.03,1569320092300.0,10,0,0
-0.04,1569320092770.0,10,0,0
-0.02,1569320093220.0,10,0,0
0.0,1569320093680.0,10,0,0
0.0,1569320094140.0,10,0,0
0.01,1569320094602.0,10,0,0
0.01,1569320095070.0,10,0,0
0.01,1569320095530.0,10,0,0
0.03,1569320095991.0,10,0,0
0.0,1569320096450.0,10,0,0
-0.01,1569320096910.0,10,0,0
0.0,1569320097370.0,3,0,0
-0.01,1569320097830.0,3,0,0
-0.03,1569320098290.0,3,0,0
-0.06,1569320098749.0,3,0,0
-0.06,1569320099200.0,3,0,0
-0.06,1569320099670.0,3,0,0
-0.1,1569320100131.0,3,0,0
-0.09,1569320100598.0,3,0,0
-0.06,1569320101050.0,3,0,0
-0.05,1569320101510.0,3,0,0
-0.01,1569320101970.0,3,0,0
0.01,1569320102440.0,3,0,0
-0.03,1569320102900.0,3,0,0
-0.02,1569320103351.0,1,0,0
-0.02,1569320103810.0,1,0,0
-0.03,1569320104270.0,1,0,0
-0.03,1569320104730.0,1,0,0
-0.02,1569320105190.0,1,0,0
0.0,1569320105650.0,2,0,0
0.07,1569320106110.0,2,0,0
0.12,1569320106570.0,2,0,0
0.1,1569320107030.0,2,0,0
0.15,1569320107500.0,2,0,0
0.14,1569320107966.0,2,0,0
0.04,1569320108422.0,2,0,0
-0.03,1569320108880.0,2,0,0
0.0,1569320109340.0,2,0,0
-0.05,1569320109810.0,2,0,0
-0.02,1569320110270.0,2,0,0
0.0,1569320110738.0,1,1,0
-0.01,1569320111190.0,1,1,0
-0.01,1569320111650.0,1,1,0
-0.02,1569320112110.0,1,1,0
-0.02,1569320112580.0,1,1,0
-0.03,1569320113041.0,1,1,0
-0.03,1569320113500.0,1,1,0
-0.02,1569320113960.0,1,1,0
-0.01,1569320114430.0,1,1,0
-0.02,1569320114890.0,1,1,0
-0.02,1569320115395.0,1,1,0
-0.02,1569320115810.0,1,1,0
-0.01,1569320116280.0,1,1,0
-0.01,1569320116740.0,1,1,0
-0.01,1569320117200.0,1,1,0
-0.01,1569320117659.0,1,1,0
-0.01,1569320118120.0,1,1,0
