DT_tiltAccAngle,Timestamp,Action,Bump,Traffic congestion
0.0,1569320086400.0,0,0,0
0.0,1569320086867.0,0,0,0
0.0,1569320087320.0,0,0,0
0.0,1569320087780.0,10,0,0
0.0,1569320088240.0,10,0,0
0.0,1569320088690.0,10,0,0
0.0,1569320089152.0,10,0,0
0.0,1569320089618.0,10,0,0
0.0,1569320090070.0,10,0,0
0.0,1569320090530.0,10,0,0
0.0,1569320090990.0,10,0,0
0.0,1569320091450.0,10,0,0
0.0,1569320091910.0,10,0,0
0.0,1569320092372.0,10,0,0
0.0,1569320092830.0,10,0,0
0.0,1569320093290.0,10,0,0
0.0,1569320093750.0,10,0,0
0.0,1569320094210.0,10,0,0
0.0,1569320094670.0,10,0,0
0.0,1569320095130.0,10,0,0
0.0,1569320095590.0,10,0,0
0.0,1569320096050.0,10,0,0
0.0,1569320096510.0,10,0,0
0.0,1569320096970.0,10,0,0
0.0,1569320097440.0,3,0,0
0.0,1569320097900.0,3,0,0
0.0,1569320098351.0,3,0,0
0.0,1569320098810.0,3,0,0
0.0,1569320099270.0,3,0,0
0.0,1569320099730.0,3,0,0
0.0,1569320100190.0,3,0,0
0.0,1569320100650.0,3,0,0
0.0,1569320101110.0,3,0,0
0.0,1569320101580.0,3,0,0
0.0,1569320102040.0,3,0,0
0.0,1569320102500.0,3,0,0
0.0,1569320102960.0,1,0,0
0.0,1569320103419.0,1,0,0
0.0,1569320103880.0,1,0,0
0.0,1569320104340.0,1,0,0
0.0,1569320104819.0,1,0,0
0.0,1569320105260.0,1,0,0
0.0,1569320105720.0,2,0,0
0.0,1569320106179.0,2,0,0
0.0,1569320106639.0,2,0,0
0.0,1569320107100.0,2,0,0
0.0,1569320107560.0,2,0,0
0.0,1569320108030.0,2,0,0
0.0,1569320108489.0,2,0,0
0.0,1569320108949.0,2,0,0
0.0,1569320109409.0,2,0,0
0.0,1569320109870.0,2,0,0
0.0,1569320110330.0,2,0,0
0.0,1569320110790.0,1,1,0
