speed_data,Timestamp,Action,Bump,Traffic congestion
0,1576223622216,0,0,0
0,1576223622666,0,0,0
0,1576223623116,0,0,0
0,1576223623567,0,0,0
0,1576223624016,0,0,0
0,1576223624466,0,0,0
0,1576223624916,0,0,0
0,1576223625366,0,0,0
0,1576223625816,0,0,0
0,1576223626266,0,0,0
0,1576223626716,0,0,0
0,1576223627166,0,0,0
0,1576223627616,0,0,0
0,1576223628066,0,0,0
0,1576223628516,0,0,0
0,1576223628966,0,0,0
0,1576223629416,0,0,0
0,1576223629866,0,0,0
0,1576223630316,0,0,0
0,1576223630766,0,0,0
0,1576223631206,0,0,0
0,1576223631656,0,0,0
0,1576223632096,0,0,0
0,1576223632536,0,0,0
0,1576223632976,0,0,0
0,1576223633437,0,0,0
0,1576223633876,0,0,0
0,1576223634316,0,0,0
0,1576223634766,0,0,0
0,1576223635206,0,0,0
0,1576223635646,0,0,0
0,1576223636096,0,0,0
0,1576223636536,0,0,0
0,1576223636976,0,0,0
0,1576223637416,0,0,0
0,1576223637856,0,0,0
0,1576223638296,0,0,0
0,1576223638736,0,0,0
0,1576223639176,0,0,0
0,1576223639616,0,0,0
0,1576223640056,0,0,0
0,1576223640496,0,0,0
0,1576223640936,0,0,0
0,1576223641376,0,0,0
0,1576223641816,0,0,0
0,1576223642256,0,0,0
0,1576223642706,0,0,0
0,1576223643146,0,0,0
0,1576223643586,0,0,0
0,1576223644026,0,0,0
0,1576223644466,0,0,0
0,1576223644906,0,0,0
0,1576223645356,0,0,0
0,1576223645796,0,0,0
0,1576223646236,0,0,0
0,1576223646676,0,0,0
0,1576223647116,0,0,0
0,1576223647566,0,0,0
0,1576223648006,0,0,0
0,1576223648446,0,0,0
0,1576223648886,0,0,0
0,1576223649326,0,0,0
0,1576223649766,0,0,0
0,1576223650206,0,0,0
0,1576223650646,0,0,0
0,1576223651096,0,0,0
0,1576223651536,0,0,0
0,1576223651987,0,0,0
0,1576223652436,0,0,0
0,1576223652887,0,0,0
0,1576223653336,0,0,0
0,1576223653787,0,0,0
0,1576223654236,0,0,0
0,1576223654686,0,0,0
0,1576223655136,0,0,0
0,1576223655586,0,0,0
0,1576223656036,0,0,0
0,1576223656486,0,0,0
0,1576223656936,0,0,0
0,1576223657386,0,0,0
0,1576223657836,0,0,0
0,1576223658286,0,0,0
0,1576223658736,0,0,0
0,1576223659186,0,0,0
0,1576223659636,0,0,0
0,1576223660086,0,0,0
0,1576223660536,0,0,0
0,1576223660986,0,0,0
0,1576223661436,0,0,0
0,1576223661886,0,0,0
0,1576223662336,0,0,0
0,1576223662786,0,0,0
0,1576223663236,0,0,0
0,1576223663686,0,0,0
0,1576223664136,4,0,0
0,1576223664586,4,0,0
0,1576223665036,4,0,0
1,1576223665486,4,0,0
1,1576223665936,4,0,0
2,1576223666386,4,0,0
3,1576223666836,4,0,0
4,1576223667286,4,0,0
5,1576223667736,4,0,0
6,1576223668196,4,0,0
7,1576223668647,4,0,0
