accPre_data,Timestamp,Action,Bump,Traffic congestion
26.69,1577067367194,1,0,0
26.69,1577067367634,1,0,0
26.69,1577067368124,1,0,0
27.0825,1577067368564,1,0,0
27.475,1577067369054,1,0,0
27.8675,1577067369504,1,0,0
28.6525,1577067369994,1,0,0
30.615000000000002,1577067370434,1,0,0
31.400000000000002,1577067370924,1,0,0
31.400000000000002,1577067371364,1,0,0
30.615000000000002,1577067371854,1,0,0
29.830000000000002,1577067372294,1,0,0
25.905,1577067372784,1,0,0
26.69,1577067373224,1,0,0
27.0825,1577067373754,1,0,0
27.8675,1577067374194,1,0,0
31.0075,1577067374684,1,0,0
31.7925,1577067375124,1,0,0
32.5775,1577067375614,1,0,0
32.5775,1577067376054,1,0,0
32.5775,1577067376544,1,0,0
32.185,1577067376984,1,0,0
31.400000000000002,1577067377484,1,0,0
31.0075,1577067377934,1,0,0
17.6625,1577067378424,1,0,0
14.5225,1577067378864,1,0,0
14.5225,1577067379354,1,0,0
14.5225,1577067379794,1,0,0
16.0925,1577067380284,1,0,0
21.195,1577067380724,1,0,0
22.372500000000002,1577067381214,1,0,0
22.372500000000002,1577067381654,1,0,0
21.98,1577067382144,1,0,0
21.587500000000002,1577067382584,1,0,0
21.195,1577067383074,1,0,0
21.195,1577067383514,1,0,0
22.372500000000002,1577067384004,1,0,0
22.372500000000002,1577067384444,3,0,0
22.372500000000002,1577067384934,3,0,0
22.372500000000002,1577067385374,3,0,0
22.372500000000002,1577067385864,3,0,0
22.372500000000002,1577067386304,3,0,0
22.372500000000002,1577067386794,3,0,0
22.372500000000002,1577067387234,3,0,0
21.587500000000002,1577067387724,3,0,0
20.41,1577067388164,3,0,0
14.5225,1577067388654,3,0,0
14.5225,1577067389094,3,0,0
14.5225,1577067389594,3,0,0
14.5225,1577067390034,3,0,0
14.5225,1577067390524,3,0,0
14.5225,1577067390964,3,0,0
14.5225,1577067391454,3,0,0
14.5225,1577067391904,3,0,0
14.5225,1577067392394,3,0,0
14.5225,1577067392834,3,0,0
14.5225,1577067393324,3,0,0
14.5225,1577067393764,3,0,0
14.5225,1577067394264,3,0,0
14.5225,1577067394704,3,0,0
14.915000000000001,1577067395194,3,0,0
14.915000000000001,1577067395634,3,0,0
15.307500000000001,1577067396124,3,0,0
25.5125,1577067396564,1,0,0
27.0825,1577067397054,1,0,0
26.69,1577067397494,1,0,0
27.0825,1577067397994,1,0,0
27.0825,1577067398434,1,0,0
26.2975,1577067398924,1,0,0
25.905,1577067399364,1,0,0
21.195,1577067399854,1,0,0
14.5225,1577067400294,1,0,0
14.5225,1577067400784,1,0,0
14.5225,1577067401224,1,0,0
14.5225,1577067401713,1,0,0
14.5225,1577067402154,1,0,0
14.5225,1577067402643,-1,0,0
14.5225,1577067403084,-1,0,0
14.5225,1577067403573,-1,0,0
14.5225,1577067404013,-1,0,0
14.5225,1577067404504,-1,0,0
14.5225,1577067404943,-1,0,0
14.5225,1577067405433,2,0,0
14.5225,1577067405873,2,0,0
14.5225,1577067406373,2,0,0
14.5225,1577067406823,2,0,0
14.5225,1577067407313,2,0,0
14.5225,1577067407753,2,0,0
14.5225,1577067408243,2,0,0
14.5225,1577067408683,2,0,0
14.5225,1577067409173,2,0,0
14.5225,1577067409623,2,0,0
14.5225,1577067410113,2,0,0
14.5225,1577067410553,2,0,0
14.5225,1577067411043,2,0,0
14.5225,1577067411483,2,0,0
14.5225,1577067411973,2,0,0
14.5225,1577067412423,2,0,0
14.5225,1577067412913,2,0,0
17.6625,1577067413353,2,0,0
20.802500000000002,1577067413843,2,0,0
21.587500000000002,1577067414283,2,0,0
21.98,1577067414773,2,0,0
24.335,1577067415213,2,0,0
25.905,1577067415703,2,0,0
26.69,1577067416143,2,0,0
26.69,1577067416633,2,0,0
26.69,1577067417073,2,0,0
27.0825,1577067417563,2,0,0
27.0825,1577067418003,1,0,0
27.475,1577067418493,1,0,0
27.8675,1577067418933,1,0,0
27.8675,1577067419423,1,0,0
27.8675,1577067419863,1,0,0
27.8675,1577067420353,1,0,0
28.26,1577067420793,1,0,0
28.26,1577067421283,1,0,0
15.700000000000001,1577067421723,1,0,0
14.5225,1577067422213,1,0,0
14.5225,1577067422653,1,0,0
14.5225,1577067423143,1,0,0
14.5225,1577067423583,1,0,0
14.5225,1577067424073,1,0,0
14.5225,1577067424513,1,0,0
14.5225,1577067425003,1,0,0
14.5225,1577067425443,1,0,0
14.5225,1577067425943,1,0,0
14.5225,1577067426394,1,0,0
14.5225,1577067426883,1,0,0
14.5225,1577067427333,1,0,0
14.5225,1577067427823,1,0,0
14.5225,1577067428263,1,0,0
14.5225,1577067428753,1,0,0
14.5225,1577067429193,1,0,0
14.5225,1577067429703,1,0,0
14.5225,1577067430143,1,0,0
14.5225,1577067430633,1,0,0
14.5225,1577067431073,1,0,0
14.5225,1577067431563,1,0,0
14.5225,1577067432003,1,0,0
14.5225,1577067432493,1,0,0
14.5225,1577067432933,1,0,0
14.5225,1577067433423,1,0,0
14.5225,1577067433863,1,0,0
14.5225,1577067434353,1,0,0
14.5225,1577067434803,1,0,0
14.5225,1577067435293,1,0,0
14.5225,1577067435743,1,0,0
14.5225,1577067436233,1,0,0
14.5225,1577067436673,1,0,0
14.5225,1577067437163,1,0,0
14.5225,1577067437603,1,0,0
14.5225,1577067438103,1,0,0
14.5225,1577067438543,1,0,0
14.5225,1577067439033,1,0,0
14.5225,1577067439473,1,0,0
14.5225,1577067439963,1,0,0
14.5225,1577067440403,1,0,0
14.5225,1577067440893,1,0,0
14.5225,1577067441343,1,0,0
14.5225,1577067441833,1,0,0
14.5225,1577067442273,1,0,0
14.5225,1577067442763,1,0,0
14.5225,1577067443203,1,0,0
14.5225,1577067443693,1,0,0
14.5225,1577067444133,1,0,0
14.5225,1577067444623,1,0,0
14.5225,1577067445063,1,0,0
14.5225,1577067445553,1,0,0
14.5225,1577067445994,1,0,0
14.5225,1577067446483,1,0,0
14.5225,1577067446923,1,0,0
14.5225,1577067447413,1,0,0
14.5225,1577067447853,1,0,0
14.5225,1577067448343,1,0,0
14.5225,1577067448782,1,0,0
14.5225,1577067449273,1,0,0
14.5225,1577067449723,1,0,0
14.5225,1577067450213,1,0,0
14.5225,1577067450663,1,0,0
14.5225,1577067451153,1,0,0
14.5225,1577067451594,-1,0,0
14.5225,1577067452083,-1,0,0
14.5225,1577067452523,-1,0,0
14.5225,1577067453012,-1,0,0
14.5225,1577067453463,-1,0,0
14.5225,1577067453953,-1,0,0
14.5225,1577067454393,-1,0,0
14.5225,1577067454882,-1,0,0
14.5225,1577067455322,5,0,0
14.5225,1577067455822,5,0,0
14.5225,1577067456263,5,0,0
14.5225,1577067456763,5,0,0
14.5225,1577067457212,5,0,0
14.5225,1577067457702,5,0,0
14.5225,1577067458142,5,0,0
14.5225,1577067458632,5,0,0
14.5225,1577067459072,5,0,0
14.5225,1577067459572,5,0,0
14.5225,1577067460022,5,0,0
14.5225,1577067460512,5,0,0
14.5225,1577067460952,5,0,0
14.5225,1577067461442,5,0,0
14.5225,1577067461892,5,0,0
14.5225,1577067462382,1,0,0
14.5225,1577067462822,1,0,0
14.5225,1577067463322,1,0,0
14.5225,1577067463772,1,0,0
14.5225,1577067464272,1,0,0
14.5225,1577067464722,1,0,0
14.5225,1577067465212,5,1,0
14.5225,1577067465652,5,1,0
14.5225,1577067466142,5,1,0
14.5225,1577067466582,5,1,0
14.5225,1577067467072,5,1,0
14.5225,1577067467512,5,1,0
14.5225,1577067468002,5,1,0
14.5225,1577067468442,5,1,0
14.5225,1577067468942,5,1,0
14.5225,1577067469392,5,1,0
14.5225,1577067469883,5,1,0
14.5225,1577067470332,5,1,0
14.5225,1577067470842,5,1,0
14.5225,1577067471292,5,1,0
14.5225,1577067471792,5,1,0
14.5225,1577067472232,5,1,0
14.5225,1577067472722,5,1,0
14.5225,1577067473172,5,1,0
14.5225,1577067473662,5,1,0
14.5225,1577067474102,5,1,0
14.5225,1577067474592,5,1,0
