X-axis Acceleration,Y-axis Acceleration,Z-axis Acceleration,X-axis Gyroscope,Y-axis Gyroscope,Z-axis Gyroscope, Timestamp,Action,BUMP,Traffic congestion
-0.40462008,0.062249243,9.821015,-0.19198623,-0.41887903,-0.17453294,1569399748661,0,0,0
-0.31244332,-0.02633622,9.91439,-0.19198623,-0.43633232,-0.17453294,1569399748714,0,0,0
-0.31244332,-0.049081136,9.89763,-0.17453294,-0.43633232,-0.17453294,1569399748767,0,0,0
-0.37349546,0.0,9.870096,-0.17453294,-0.41887903,-0.15707964,1569399748819,0,0,0
-0.35913026,-0.010773907,10.030508,-0.19198623,-0.40142572,-0.15707964,1569399748873,0,0,0
-0.4381389,0.011971008,9.900024,-0.17453294,-0.40142572,-0.19198623,1569399748925,0,0,0
-0.415394,0.010773907,9.832987,-0.17453294,-0.41887903,-0.17453294,1569399748977,0,0,0
-0.33997664,0.009576807,9.951499,-0.17453294,-0.43633232,-0.17453294,1569399749029,0,0,0
-0.35553896,0.077811554,9.836577,-0.19198623,-0.43633232,-0.15707964,1569399749082,0,0,0
-0.34356794,0.046686932,9.880871,-0.19198623,-0.43633232,-0.17453294,1569399749133,0,0,0
-0.39863458,0.015562311,9.849746,-0.17453294,-0.40142572,-0.15707964,1569399749187,0,0,0
-0.37229836,0.019153614,9.940725,-0.17453294,-0.40142572,-0.17453294,1569399749240,0,0,0
-0.36511576,-0.022744916,9.864111,-0.17453294,-0.40142572,-0.17453294,1569399749292,0,0,0
-0.38067806,0.06464344,9.81503,-0.19198623,-0.43633232,-0.15707964,1569399749345,0,0,0
-0.32680854,0.015562311,9.975441,-0.19198623,-0.43633232,-0.17453294,1569399749398,0,0,0
-0.39983168,0.008379706,9.838972,-0.17453294,-0.43633232,-0.17453294,1569399749450,0,0,0
-0.34835634,0.06703765,9.834184,-0.19198623,-0.41887903,-0.17453294,1569399749502,0,0,0
-0.32800564,-0.005985504,9.927557,-0.17453294,-0.41887903,-0.15707964,1569399749554,0,0,0
-0.4177882,0.076614454,9.776723,-0.17453294,-0.40142572,-0.15707964,1569399749619,0,0,0
-0.35793316,0.0011971008,9.938332,-0.17453294,-0.41887903,-0.17453294,1569399749659,0,0,0
-0.39264908,-0.02873042,9.965864,-0.17453294,-0.43633232,-0.17453294,1569399749711,0,0,0
-0.37588966,0.06584055,9.832987,-0.19198623,-0.43633232,-0.17453294,1569399749763,0,0,0
-0.30286652,-0.029927522,9.927557,-0.17453294,-0.41887903,-0.15707964,1569399749816,0,0,0
-0.39264908,0.04309563,9.854534,-0.17453294,-0.41887903,-0.15707964,1569399749868,0,0,0
-0.3854665,-0.0011971008,9.892841,-0.19198623,-0.40142572,-0.15707964,1569399749920,0,0,0
-0.36032736,-0.047884032,10.007763,-0.17453294,-0.41887903,-0.17453294,1569399749973,0,0,0
-0.47884035,0.075417355,9.844957,-0.17453294,-0.41887903,-0.17453294,1569399750026,0,0,0
-0.35434186,-0.011971008,9.949105,-0.19198623,-0.41887903,-0.17453294,1569399750078,0,0,0
-0.36511576,0.016759412,9.927557,-0.19198623,-0.43633232,-0.17453294,1569399750131,0,0,0
-0.34237084,0.016759412,10.023325,-0.17453294,-0.41887903,-0.17453294,1569399750182,0,0,0
-0.3878607,0.050278235,9.874885,-0.17453294,-0.41887903,-0.17453294,1569399750236,0,0,0
